	s1	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s2	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s3	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s4	s40	s41	s42	s43	s44	s45	s46	s47	s48	s5	s6	s7	s8	s9
K00382	0.39461538461538465	0.13	0.6322	0.0	0.0	0.31013513513513513	0.72	0.15	0.4022281167108754	0.4022281167108754	0.31999999999999995	0.2883202099737533	0.6900000000000001	0.0	0.15	1.0	0.4	0.2	0.0	0.589	0.0	0.15	0.6880851063829788	0.4022281167108754	0.40844155844155844	0.15	0.4	0.9	0.7000000000000001	0.3	0.14010785824345148	0.4107142857142857	0.16	0.13335051546391752	0.4107142857142857	2.03816091954023	0.25	0.6322	0.13	0.2	0.4107142857142857	0.27111111111111114	0.25	0.13	0.4107142857142857	0.14	0.6322	0.31013513513513513
K01738	0.19	0.257719298245614	0.5336	0.0	0.0	0.3182432432432432	0.54	0.3	0.27732095490716185	0.27732095490716185	0.13	0.2618110236220472	0.6088235294117648	0.0	0.34642857142857136	0.5	0.5333333333333333	0.3277777777777778	0.0	0.31	0.0	0.34642857142857136	0.0	0.27732095490716185	0.16883116883116883	0.34642857142857136	0.30000000000000004	0.45	0.0	0.3	0.2798921417565486	0.36985714285714283	0.3413333333333333	0.264020618556701	0.36985714285714283	0.8128735632183909	0.25	0.5336	0.257719298245614	0.35000000000000003	0.36985714285714283	0.2977777777777778	0.25	0.257719298245614	0.36985714285714283	0.28	0.5336	0.3182432432432432
K03110	0.19	0.13	0.3886	0.0	0.0	0.15405405405405403	0.27	0.15	0.17	0.17	0.09	0.1	0.23	0.0	0.15714285714285714	0.5	0.2	0.2	0.0	0.31	0.0	0.15714285714285714	0.33	0.17	0.15	0.15714285714285714	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.1306701030927835	0.18	0.52	0.25	0.3886	0.13	0.2	0.18	0.08	0.25	0.13	0.18	0.14	0.3886	0.15405405405405403
K01779	0.19	0.13228070175438597	0.29	0.0	0.0	0.15810810810810808	0.27	0.15	0.0	0.0	0.15999999999999998	0.23215223097112864	0.23	0.0	0.0	0.0	0.24444444444444446	0.2	0.0	0.31	0.0	0.0	0.33	0.0	0.15	0.0	0.30000000000000004	0.45	0.0	0.25	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.13228070175438597	0.2	0.0	0.08	0.0	0.13228070175438597	0.0	0.15400000000000003	0.29	0.15810810810810808
K03269	0.19	0.13	0.3016	0.0	0.0	0.15	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.5	0.0	0.2	0.0	0.31	0.0	0.15	0.33	0.0	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.13	0.18	0.0	0.0	0.3016	0.13	0.0	0.18	0.0	0.0	0.13	0.18	0.14	0.3016	0.15
K00942	0.19	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.1701503094606543	0.1701503094606543	0.09	0.1031496062992126	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.1701503094606543	0.18766233766233764	0.15	0.2	0.45	0.4	0.19999999999999998	0.14	0.18	0.16	0.13	0.18	0.52	0.45	0.29	0.13	0.2	0.18	0.08	0.45	0.13	0.18	0.14	0.29	0.15
K00239	0.6430769230769231	0.26	0.58	0.0	0.0	0.2777027027027027	0.54	0.3	0.33774535809018574	0.33774535809018574	0.18	0.1879265091863517	0.46	0.0	0.3	1.0	0.5777777777777778	0.3111111111111111	0.0	0.558	0.0	0.3	0.6038297872340426	0.33774535809018574	0.2948051948051948	0.3	0.4	0.9	0.8	0.3	0.2784899845916795	0.3545714285714286	0.32	0.258659793814433	0.3545714285714286	1.5181609195402301	0.0	0.58	0.26	0.0	0.3545714285714286	0.17777777777777778	0.0	0.26	0.3545714285714286	0.28	0.58	0.2777027027027027
K01681	0.2776923076923077	0.17105263157894737	0.58	0.0	0.0	0.15	0.27	0.15	0.1701503094606543	0.1701503094606543	0.09	0.1010498687664042	0.23	0.0	0.16428571428571428	0.5	0.33333333333333337	0.3444444444444445	0.0	0.5766	0.0	0.16428571428571428	0.6038297872340426	0.1701503094606543	0.2857142857142857	0.16428571428571428	0.30000000000000004	0.45	0.4	0.3	0.14	0.3608571428571428	0.16	0.13	0.3608571428571428	0.52	0.0	0.58	0.17105263157894737	0.2	0.3608571428571428	0.08	0.0	0.17105263157894737	0.3608571428571428	0.14	0.58	0.15
K02500	0.19	0.13	0.29	0.0	0.0	0.15202702702702703	0.27	0.15	0.17	0.17	0.09	0.1	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.35106382978723405	0.17	0.15064935064935064	0.15	0.2	0.45	0.4	0.15	0.14010785824345148	0.19771428571428573	0.16	0.13134020618556702	0.19771428571428573	0.52	0.25	0.29	0.13	0.2	0.19771428571428573	0.08	0.25	0.13	0.19771428571428573	0.14	0.29	0.15202702702702703
K00640	0.19	0.13912280701754387	0.0	0.0	0.0	0.1945945945945946	0.45000000000000007	0.15	0.17541114058355436	0.17541114058355436	0.09	0.1136482939632546	0.23	0.0	0.15	1.0	0.24444444444444446	0.45	0.0	0.3472	0.0	0.15	0.8636170212765958	0.17541114058355436	0.2785714285714286	0.15	0.30000000000000004	0.5	0.4	0.15	0.14	0.3738571428571429	0.18133333333333332	0.13402061855670103	0.3738571428571429	0.5439080459770115	0.3	0.0	0.13912280701754387	0.2	0.3738571428571429	0.08888888888888889	0.3	0.13912280701754387	0.3738571428571429	0.14	0.0	0.1945945945945946
K03655	0.2923076923076923	0.15736842105263157	0.29	0.0	0.0	0.15	0.27	0.15	0.20908045977011494	0.20908045977011494	0.12	0.10052493438320209	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.36579999999999996	0.0	0.15	0.33	0.20908045977011494	0.1597402597402597	0.15	0.2	0.6	0.5	0.15	0.14	0.21228571428571427	0.16	0.1306701030927835	0.21228571428571427	0.52	0.25	0.29	0.15736842105263157	0.2	0.21228571428571427	0.08	0.25	0.15736842105263157	0.21228571428571427	0.15400000000000003	0.29	0.15
K03550	0.19	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.17	0.17	0.09	0.1	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.17	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.1306701030927835	0.18	0.52	0.25	0.29	0.13	0.2	0.18	0.08	0.25	0.13	0.18	0.14	0.29	0.15
K02495	0.38	0.3603508771929825	0.5858	0.0	0.0	0.3202702702702703	0.54	0.33	0.17075154730327144	0.17075154730327144	0.18	0.194750656167979	0.47352941176470587	0.0	0.2928571428571428	1.0	0.4	0.3666666666666667	0.0	0.5332	0.0	0.2928571428571428	0.6038297872340426	0.17075154730327144	0.1844155844155844	0.2928571428571428	0.4	0.9	0.7000000000000001	0.15	0.41212634822804317	0.44485714285714284	0.37333333333333335	0.26469072164948454	0.44485714285714284	0.52	0.0	0.5858	0.3603508771929825	0.2	0.44485714285714284	0.16	0.0	0.3603508771929825	0.44485714285714284	0.392	0.5858	0.3202702702702703
K01586	0.19	0.13228070175438597	0.0	0.0	0.0	0.22094594594594594	0.45000000000000007	0.24	0.2777718832891247	0.2777718832891247	0.1	0.11010498687664041	0.2570588235294118	0.0	0.15714285714285714	0.5	0.2	0.2	0.0	0.341	0.0	0.15714285714285714	0.41425531914893615	0.2777718832891247	0.15064935064935064	0.15714285714285714	0.6000000000000001	0.7000000000000001	0.4	0.15	0.2790292758089369	0.28114285714285714	0.20266666666666666	0.13804123711340208	0.28114285714285714	0.5977011494252873	0.25	0.0	0.13228070175438597	0.2	0.28114285714285714	0.14666666666666667	0.25	0.13228070175438597	0.28114285714285714	0.18200000000000002	0.0	0.22094594594594594
K02112	0.19	0.13	0.29	0.0	0.0	0.15405405405405403	0.27	0.15	0.17	0.17	0.1	0.10367454068241472	0.23	0.0	0.15	0.5	0.22222222222222224	0.2	0.0	0.341	0.0	0.15	0.33	0.17	0.15	0.15	0.4	0.5	0.4	0.19999999999999998	0.14	0.18	0.16	0.13	0.18	0.52	0.25	0.29	0.13	0.2	0.18	0.09333333333333334	0.25	0.13	0.18	0.14	0.29	0.15405405405405403
K00265	0.3507692307692308	0.26	0.5451999999999999	0.0	0.0	0.30608108108108106	0.72	0.3	0.322263483642794	0.322263483642794	0.0	0.19133858267716536	0.4329411764705883	0.0	0.3	1.0	0.4	0.3888888888888889	0.0	0.5704	0.0	0.3	0.6038297872340426	0.322263483642794	0.2935064935064935	0.3	0.4	0.0	0.0	0.3	0.2789214175654854	0.35514285714285715	0.32	0.25463917525773194	0.35514285714285715	1.0519540229885058	0.4	0.5451999999999999	0.26	0.30000000000000004	0.35514285714285715	0.1688888888888889	0.4	0.26	0.35514285714285715	0.28	0.5451999999999999	0.30608108108108106
K02073	0.19	0.4903508771929825	0.29	0.0	0.0	0.5858108108108108	0.36	0.69	0.34751547303271446	0.34751547303271446	0.26	0.3467191601049869	0.7035294117647058	0.0	0.4535714285714285	0.5	0.35555555555555557	0.0	0.0	0.31	0.0	0.4535714285714285	1.4955319148936173	0.34751547303271446	0.524025974025974	0.4535714285714285	0.0	0.0	0.0	0.15	0.2789214175654854	0.563	0.3946666666666667	0.41211340206185565	0.563	0.5857471264367816	0.75	0.29	0.4903508771929825	0.65	0.563	0.2177777777777778	0.75	0.4903508771929825	0.563	0.546	0.29	0.5858108108108108
K02337	0.3653846153846154	0.13456140350877194	0.29	0.0	0.0	0.15	0.36	0.15	0.18247568523430596	0.18247568523430596	0.1	0.10472440944881889	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.18247568523430596	0.19025974025974027	0.15	0.2	0.9	0.6000000000000001	0.15	0.147442218798151	0.18	0.17066666666666666	0.15077319587628868	0.18	0.52	0.25	0.29	0.13456140350877194	0.2	0.18	0.08	0.25	0.13456140350877194	0.18	0.14	0.29	0.15
K00766	0.19	0.0	0.3016	0.0	0.0	0.15608108108108107	0.27	0.0	0.17	0.17	0.09	0.10433070866141732	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.17	0.15	0.15	0.2	0.45	0.4	0.15	0.0	0.18	0.16	0.0	0.18	0.52	0.25	0.3016	0.0	0.2	0.18	0.08	0.25	0.0	0.18	0.14	0.3016	0.15608108108108107
