	s1	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s2	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s3	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s4	s40	s41	s42	s43	s44	s45	s46	s47	s48	s5	s6	s7	s8	s9	A	B	C	EC	Pathway_Module
K00001	0.19	0.13	0.0	0.0	0.0	0.0	0.81	0.0	0.22366047745358092	0.22366047745358092	0.09	0.18976377952755907	0.46	0.0	0.0	0.0	0.22222222222222224	0.0	0.0	0.3162	0.0	0.0	0.4353191489361702	0.22366047745358092	0.15	0.0	0.2	0.0	0.0	0.15	0.14	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.13	0.2	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00010 Glycolysis / Gluconeogenesis [PATH:ko00010] 	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	
K00001	0.19	0.13	0.0	0.0	0.0	0.0	0.81	0.0	0.22366047745358092	0.22366047745358092	0.09	0.18976377952755907	0.46	0.0	0.0	0.0	0.22222222222222224	0.0	0.0	0.3162	0.0	0.0	0.4353191489361702	0.22366047745358092	0.15	0.0	0.2	0.0	0.0	0.15	0.14	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.13	0.2	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	A09100 Metabolism 	B 09103 Lipid metabolism 	C 00071 Fatty acid degradation [PATH:ko00071] 	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	
K00001	0.19	0.13	0.0	0.0	0.0	0.0	0.81	0.0	0.22366047745358092	0.22366047745358092	0.09	0.18976377952755907	0.46	0.0	0.0	0.0	0.22222222222222224	0.0	0.0	0.3162	0.0	0.0	0.4353191489361702	0.22366047745358092	0.15	0.0	0.2	0.0	0.0	0.15	0.14	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.13	0.2	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	A09100 Metabolism 	B 09105 Amino acid metabolism 	C 00350 Tyrosine metabolism [PATH:ko00350] 	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	
K00001	0.19	0.13	0.0	0.0	0.0	0.0	0.81	0.0	0.22366047745358092	0.22366047745358092	0.09	0.18976377952755907	0.46	0.0	0.0	0.0	0.22222222222222224	0.0	0.0	0.3162	0.0	0.0	0.4353191489361702	0.22366047745358092	0.15	0.0	0.2	0.0	0.0	0.15	0.14	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.13	0.2	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	A09100 Metabolism 	B 09108 Metabolism of cofactors and vitamins 	C 00830 Retinol metabolism [PATH:ko00830] 	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	
K00001	0.19	0.13	0.0	0.0	0.0	0.0	0.81	0.0	0.22366047745358092	0.22366047745358092	0.09	0.18976377952755907	0.46	0.0	0.0	0.0	0.22222222222222224	0.0	0.0	0.3162	0.0	0.0	0.4353191489361702	0.22366047745358092	0.15	0.0	0.2	0.0	0.0	0.15	0.14	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.13	0.2	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	A09100 Metabolism 	B 09111 Xenobiotics biodegradation and metabolism 	C 00625 Chloroalkane and chloroalkene degradation [PATH:ko00625] 	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	
K00001	0.19	0.13	0.0	0.0	0.0	0.0	0.81	0.0	0.22366047745358092	0.22366047745358092	0.09	0.18976377952755907	0.46	0.0	0.0	0.0	0.22222222222222224	0.0	0.0	0.3162	0.0	0.0	0.4353191489361702	0.22366047745358092	0.15	0.0	0.2	0.0	0.0	0.15	0.14	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.13	0.2	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	A09100 Metabolism 	B 09111 Xenobiotics biodegradation and metabolism 	C 00626 Naphthalene degradation [PATH:ko00626] 	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	
K00001	0.19	0.13	0.0	0.0	0.0	0.0	0.81	0.0	0.22366047745358092	0.22366047745358092	0.09	0.18976377952755907	0.46	0.0	0.0	0.0	0.22222222222222224	0.0	0.0	0.3162	0.0	0.0	0.4353191489361702	0.22366047745358092	0.15	0.0	0.2	0.0	0.0	0.15	0.14	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.13	0.2	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	A09100 Metabolism 	B 09111 Xenobiotics biodegradation and metabolism 	C 00980 Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980] 	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	
K00001	0.19	0.13	0.0	0.0	0.0	0.0	0.81	0.0	0.22366047745358092	0.22366047745358092	0.09	0.18976377952755907	0.46	0.0	0.0	0.0	0.22222222222222224	0.0	0.0	0.3162	0.0	0.0	0.4353191489361702	0.22366047745358092	0.15	0.0	0.2	0.0	0.0	0.15	0.14	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.13	0.2	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	A09100 Metabolism 	B 09111 Xenobiotics biodegradation and metabolism 	C 00982 Drug metabolism - cytochrome P450 [PATH:ko00982] 	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	
K00003	0.19	0.0	0.29	0.0	0.0	0.0	0.27	0.0	0.17	0.17	0.09	0.2503937007874016	0.2570588235294118	0.0	0.0	0.5	0.2	0.0	0.0	0.3162	0.0	0.0	0.33	0.17	0.2675324675324675	0.0	0.2	0.0	0.0	0.15	0.0	0.21514285714285714	0.0	0.0	0.21514285714285714	0.615632183908046	0.25	0.29	0.0	0.2	0.21514285714285714	0.21333333333333332	0.25	0.0	0.21514285714285714	0.0	0.29	0.0	A09100 Metabolism 	B 09105 Amino acid metabolism 	C 00260 Glycine, serine and threonine metabolism [PATH:ko00260] 	hom; homoserine dehydrogenase [EC:1.1.1.3]	M00018 Threonine biosynthesis, aspartate => homoserine => threonine [PATH:map00260 map01230 map01100 map01110]
K00003	0.19	0.0	0.29	0.0	0.0	0.0	0.27	0.0	0.17	0.17	0.09	0.2503937007874016	0.2570588235294118	0.0	0.0	0.5	0.2	0.0	0.0	0.3162	0.0	0.0	0.33	0.17	0.2675324675324675	0.0	0.2	0.0	0.0	0.15	0.0	0.21514285714285714	0.0	0.0	0.21514285714285714	0.615632183908046	0.25	0.29	0.0	0.2	0.21514285714285714	0.21333333333333332	0.25	0.0	0.21514285714285714	0.0	0.29	0.0	A09100 Metabolism 	B 09105 Amino acid metabolism 	C 00270 Cysteine and methionine metabolism [PATH:ko00270] 	hom; homoserine dehydrogenase [EC:1.1.1.3]	M00018 Threonine biosynthesis, aspartate => homoserine => threonine [PATH:map00260 map01230 map01100 map01110]
