Type	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48
2-Aminoethylphosphonate-Degradation	0.0	0.1	0.0	0.0	0.0	0.09	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.16666666666666669	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.0	0.0	0.075	0.14	0.09	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.09	0.04	0.0
2-Chloroacrylates-Degradation	0.0	0.16128608923884516	0.0	0.0	0.0	0.22499999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6300000000000001	0.0	0.0	0.0	0.11	0.0	0.0	0.29642857142857143	0.0	0.5555555555555556	0.0	0.0	0.0	0.0	0.29642857142857143	0.0	0.0	0.29642857142857143	0.2	0.0	0.0	0.0	0.0	0.22499999999999998	0.0	0.22499999999999998	0.0	0.0	0.0	0.0	0.0	0.22499999999999998	0.08	0.0
3-Chlorocatechol-Degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3-Dehydroquinate-Biosynthesis	0.0	0.10039370078740158	0.33	0.13	0.13	0.2102857142857143	0.14	0.29	0.15202702702702703	0.13	0.29	0.0	0.0	0.15202702702702703	0.27	0.15	0.17	0.17	0.09	0.23	0.0	0.15	0.0	0.2	0.2	0.0	0.31	0.0	0.15	0.17	0.0	0.15	0.2	0.0	0.0	0.15	0.14	0.2102857142857143	0.16	0.2102857142857143	0.52	0.25	0.29	0.13	0.2	0.2102857142857143	0.08	0.25
4-Aminobutyraye-Degradation	0.0	0.079002624671916	0.33234042553191495	0.14652920962199315	0.13228070175438597	0.2017142857142857	0.09333333333333334	0.0	0.10135135135135136	0.13228070175438597	0.0	0.0	0.0	0.10135135135135136	0.24	0.09999999999999999	0.0	0.0	0.0	0.0	0.0	0.20238095238095236	0.0	0.0	0.0	0.0	0.20666666666666667	0.0	0.20238095238095236	0.0	0.09999999999999999	0.20238095238095236	0.13333333333333333	0.0	0.0	0.09999999999999999	0.09333333333333334	0.2017142857142857	0.19555555555555557	0.2017142857142857	0.39846743295019155	0.16666666666666666	0.0	0.13228070175438597	0.0	0.2017142857142857	0.08	0.16666666666666666
4-Nitrotoluene-Degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5Z-Dodec-5-enoate-Biosynthesis	0.0	0.0	0.0	0.13	0.13	0.18	0.14	0.0	0.15	0.13	0.0	0.0	0.0	0.15	0.27	0.15	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.15	0.2	0.0	0.0	0.0	0.14	0.18	0.16	0.18	0.0	0.0	0.0	0.13	0.0	0.18	0.0	0.0
6-HM-Dihydropterin-PP-Biosynthesis	0.19000000000000003	0.10000000000000002	0.33	0.13	0.13	0.23904761904761904	0.14	0.3016	0.15	0.13	0.3016	0.0	0.0	0.15	0.27	0.15	0.17160330091364576	0.17160330091364576	0.09000000000000001	0.23	0.0	0.15	0.5	0.20000000000000004	0.2240740740740741	0.0	0.3327333333333333	0.0	0.15	0.17160330091364576	0.1538961038961039	0.15	0.26666666666666666	0.0	0.0	0.16666666666666666	0.14	0.23904761904761904	0.16	0.23904761904761904	0.52	0.25	0.3016	0.13	0.0	0.23904761904761904	0.08	0.25
7-Keto-8-aminopelargonate-Biosynthesis	0.12666666666666668	0.06666666666666667	0.22	0.13	0.1376023391812866	0.18628571428571428	0.1586666666666667	0.29	0.177027027027027	0.1376023391812866	0.29	0.0	0.0	0.177027027027027	0.0	0.15	0.11333333333333334	0.11333333333333334	0.0	0.15333333333333335	0.0	0.15476190476190477	0.0	0.13333333333333333	0.20000000000000004	0.0	0.31	0.0	0.15476190476190477	0.11333333333333334	0.09999999999999999	0.15476190476190477	0.26666666666666666	0.3	0.0	0.15	0.14	0.18628571428571428	0.18844444444444444	0.18628571428571428	0.0	0.0	0.29	0.1376023391812866	0.0	0.18628571428571428	0.05333333333333334	0.0
ADP-Sugar-Biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
