	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48
RXN-16380	0.40923076923076923	0.4053805774278216	0.6529787234042553	0.13	0.13	0.4574285714285714	0.28	0.29	0.375	0.13	0.29	0.0	0.0	0.375	0.36	0.15	0.17	0.17	0.29	0.24352941176470588	0.0	0.15	0.0	0.5777777777777778	0.47222222222222227	0.0	0.5332	0.0	0.15	0.17	0.0	0.15	0.4	0.65	0.0	0.3	0.14	0.4574285714285714	0.16	0.4574285714285714	0.0	0.0	0.29	0.13	0.2	0.4574285714285714	0.26666666666666666	0.0
ACETYL-COA-CARBOXYLTRANSFER-RXN	0.5553846153846154	0.40065616797900266	0.0	0.4000515463917526	0.387719298245614	0.6735714285714286	0.42000000000000004	0.8467999999999999	0.44797297297297295	0.387719298245614	0.8467999999999999	0.0	0.0	0.44797297297297295	1.08	0.54	0.0	0.0	0.44999999999999996	0.7170588235294117	0.0	0.44999999999999996	0.0	0.6222222222222222	0.5333333333333333	0.0	0.0	0.0	0.44999999999999996	0.0	0.0	0.44999999999999996	0.6000000000000001	1.35	0.0	0.0	0.4193528505392912	0.6735714285714286	0.512	0.6735714285714286	0.0	0.8	0.8467999999999999	0.387719298245614	0.6000000000000001	0.6735714285714286	0.38222222222222224	0.8
GTP-CYCLOHYDRO-I-RXN	0.2630769230769231	0.13937007874015747	0.5546808510638298	0.1306701030927835	0.13	0.5408571428571428	0.14	0.3016	0.2716216216216216	0.13	0.3016	0.0	0.0	0.2716216216216216	0.27	0.15	0.17240495137046863	0.17240495137046863	0.09	0.2570588235294118	0.0	0.15	0.5	0.22222222222222224	0.27222222222222225	0.0	0.3782	0.0	0.15	0.17240495137046863	0.1616883116883117	0.15	0.5	1.0	0.9	0.19999999999999998	0.14	0.5408571428571428	0.16	0.5408571428571428	0.5857471264367816	0.25	0.3016	0.13	0.2	0.5408571428571428	0.08	0.25
RXN-11327	0.19	0.0	0.33	0.13	0.13	0.18	0.14	0.29	0.15	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.0	0.0	0.0	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.0	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.18	0.0	0.0	0.29	0.13	0.0	0.18	0.0	0.0
ACETYL-COA-ACETYLTRANSFER-RXN	0.19	0.3078740157480315	1.3480851063829786	0.21376288659793816	0.31473684210526315	0.9958571428571428	0.0	0.5973999999999999	0.15	0.31473684210526315	0.5973999999999999	0.0	0.0	0.15	0.99	0.33	0.32917771883289126	0.32917771883289126	0.26	1.1500000000000001	0.0	0.0	0.5	0.8666666666666667	0.3277777777777778	0.0	1.6740000000000002	0.0	0.0	0.32917771883289126	0.711038961038961	0.0	0.8	0.55	0.4	0.3	0.14	0.9958571428571428	0.0	0.9958571428571428	0.9144827586206896	0.0	0.5973999999999999	0.31473684210526315	0.35000000000000003	0.9958571428571428	0.4133333333333334	0.0
2.7.7.13-RXN	0.2192307692307692	0.1	0.0	0.17087628865979382	0.1756140350877193	0.42357142857142854	0.18200000000000002	0.0	0.16418918918918918	0.1756140350877193	0.0	0.0	0.0	0.16418918918918918	0.36	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37777777777777777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.45	0.0	0.0	0.2776271186440678	0.42357142857142854	0.0	0.42357142857142854	0.0	0.0	0.0	0.1756140350877193	0.0	0.42357142857142854	0.13777777777777778	0.0
CHORISMATEMUT-RXN	0.19	0.19934383202099737	0.6108510638297873	0.29149484536082476	0.26	0.34414285714285714	0.37800000000000006	0.29	0.42770270270270266	0.26	0.29	0.0	0.0	0.42770270270270266	0.27	0.63	0.33789566755084	0.33789566755084	0.27	0.23	0.0	0.40714285714285714	0.5	0.2	0.35555555555555557	0.0	0.31	0.0	0.40714285714285714	0.33789566755084	0.0	0.40714285714285714	0.2	0.45	0.4	0.15	0.4184899845916796	0.34414285714285714	0.44799999999999995	0.34414285714285714	0.52	0.0	0.29	0.26	0.2	0.34414285714285714	0.24	0.0
URA-PHOSPH-RXN	0.19	0.0	0.0	0.13	0.1505263157894737	0.0	0.14	0.0	0.16216216216216217	0.1505263157894737	0.0	0.0	0.0	0.16216216216216217	0.27	0.15	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.15	0.0	0.45	0.0	0.0	0.26015408320493066	0.0	0.16	0.0	0.0	0.0	0.0	0.1505263157894737	0.0	0.0	0.0	0.0
IGPSYN-RXN	0.19	0.1010498687664042	0.33	0.13	0.13	0.19228571428571428	0.14	0.29	0.15	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.17	0.17	0.09	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.17	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.19228571428571428	0.16	0.19228571428571428	0.52	0.25	0.29	0.13	0.2	0.19228571428571428	0.08	0.25
RXN1G-320	0.3507692307692308	0.19973753280839895	0.33	0.26	0.26	0.36014285714285715	0.28	0.5683999999999999	0.4378378378378378	0.26	0.5683999999999999	0.0	0.0	0.4378378378378378	0.81	0.3	0.1716534040671972	0.1716534040671972	0.15	0.46	0.0	0.2928571428571428	0.5	0.37777777777777777	0.3388888888888889	0.0	0.527	0.0	0.2928571428571428	0.1716534040671972	0.0	0.2928571428571428	0.4	0.9500000000000001	0.7000000000000001	0.3	0.27967642526964565	0.36014285714285715	0.3413333333333333	0.36014285714285715	0.0	0.5	0.5683999999999999	0.26	0.4	0.36014285714285715	0.08444444444444445	0.5
RXN-9632	0.2923076923076923	0.0	0.33	0.2325257731958763	0.1892982456140351	0.381	0.29400000000000004	0.5683999999999999	0.1945945945945946	0.1892982456140351	0.5683999999999999	0.0	0.0	0.1945945945945946	0.27	0.24	0.0	0.0	0.0	0.23	0.0	0.26071428571428573	0.0	0.2	0.2	0.0	0.42160000000000003	0.0	0.26071428571428573	0.0	0.287012987012987	0.26071428571428573	0.2	0.0	0.0	0.3	0.14	0.381	0.23466666666666666	0.381	0.0	0.0	0.5683999999999999	0.1892982456140351	0.0	0.381	0.0	0.0
UDP-NACMURALGLDAPAALIG-RXN	0.19	0.11194225721784777	0.0	0.13	0.13	0.18	0.14	0.29	0.15	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.17736516357206014	0.17736516357206014	0.32999999999999996	0.23	0.0	0.15	0.0	0.2	0.2	0.0	0.31	0.0	0.15	0.17736516357206014	0.0	0.15	0.2	0.45	0.0	0.15	0.14	0.18	0.16	0.18	0.0	0.25	0.29	0.13	0.2	0.18	0.14666666666666667	0.25
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	0.19	0.0	0.33	0.13	0.13	0.18114285714285713	0.14	0.29	0.15	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.0	0.0	0.0	0.23	0.0	0.15	1.0	0.2	0.2	0.0	0.31	0.0	0.15	0.0	0.15	0.15	0.2	0.9	0.7000000000000001	0.15	0.14	0.18114285714285713	0.16	0.18114285714285713	0.0	0.0	0.29	0.13	0.0	0.18114285714285713	0.0	0.0
DEOXYGLUCONOKIN-RXN	0.20461538461538462	0.10236220472440945	0.0	0.25932989690721653	0.262280701754386	0.18	0.14	0.0	0.28986486486486485	0.262280701754386	0.0	0.0	0.0	0.28986486486486485	0.27	0.3	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.0	0.22222222222222224	0.0	0.0	0.0	0.0	0.2857142857142857	0.0	0.0	0.2857142857142857	0.0	0.9	0.0	0.0	0.14	0.18	0.23466666666666666	0.18	0.0	0.25	0.0	0.262280701754386	0.35000000000000003	0.18	0.0	0.25
SUCCSEMIALDDEHYDROG-RXN	0.19	0.11850393700787401	1.2427659574468086	0.2620103092783505	0.1505263157894737	0.41914285714285715	0.36400000000000005	0.3596	0.518918918918919	0.1505263157894737	0.3596	0.0	0.0	0.518918918918919	1.17	0.39	0.0	0.0	0.0	0.6764705882352942	0.0	0.44999999999999996	0.5	0.48888888888888893	0.22777777777777777	0.0	0.6944	0.0	0.44999999999999996	0.0	0.37207792207792206	0.44999999999999996	0.7000000000000001	0.7000000000000001	0.4	0.44999999999999996	0.27881355932203394	0.41914285714285715	0.35200000000000004	0.41914285714285715	1.3029885057471264	0.25	0.3596	0.1505263157894737	0.0	0.41914285714285715	0.13333333333333333	0.25
RXN-7693	0.20461538461538462	0.4429133858267717	1.0882978723404257	0.4804639175257732	0.5268421052631579	0.5261428571428571	0.462	0.6206	0.46418918918918917	0.5268421052631579	0.6206	0.0	0.0	0.46418918918918917	1.71	0.69	0.46129973474801067	0.46129973474801067	0.29	0.9064705882352943	0.0	0.525	0.5	0.6000000000000001	0.20555555555555555	0.0	0.8742	0.0	0.525	0.46129973474801067	0.4785714285714286	0.525	0.30000000000000004	0.0	0.0	0.44999999999999996	0.445562403697997	0.5261428571428571	0.5226666666666666	0.5261428571428571	1.3388505747126438	0.5	0.6206	0.5268421052631579	0.5	0.5261428571428571	0.2177777777777778	0.5
PNPOXI-RXN	0.2192307692307692	0.0	0.33	0.1306701030927835	0.13	0.244	0.14	0.29	0.15810810810810808	0.13	0.29	0.0	0.0	0.15810810810810808	0.36	0.15	0.0	0.0	0.0	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.0	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.244	0.16	0.244	0.52	0.0	0.29	0.13	0.0	0.244	0.0	0.0
DIHYDROFOLATEREDUCT-RXN	0.3653846153846154	0.1	0.33	0.28479381443298973	0.28964912280701754	0.3578571428571429	0.14	0.29	0.3202702702702703	0.28964912280701754	0.29	0.0	0.0	0.3202702702702703	0.27	0.15	0.19149425287356323	0.19149425287356323	0.1	0.23	0.0	0.15	0.5	0.0	0.3388888888888889	0.0	0.3968	0.0	0.15	0.19149425287356323	0.1558441558441558	0.15	0.4	0.45	0.4	0.25	0.17893682588597845	0.3578571428571429	0.16	0.3578571428571429	0.52	0.25	0.29	0.28964912280701754	0.2	0.3578571428571429	0.08444444444444445	0.25
ACETOLACTSYN-RXN	0.38	0.44790026246719167	1.1374468085106384	0.9703092783505155	0.7822807017543859	0.6778571428571428	0.672	0.8525999999999999	1.2425675675675676	0.7822807017543859	0.8525999999999999	0.0	0.0	1.2425675675675676	2.0700000000000003	1.05	0.43093722369584436	0.43093722369584436	0.21	1.0958823529411765	0.0	0.7357142857142858	1.0	1.4666666666666668	0.6000000000000001	0.0	1.4198	0.0	0.7357142857142858	0.43093722369584436	0.42922077922077917	0.7357142857142858	0.5	1.05	0.4	0.6	0.8373035439137134	0.6778571428571428	0.8	0.6778571428571428	1.2790804597701149	0.55	0.8525999999999999	0.7822807017543859	0.5	0.6778571428571428	0.19111111111111112	0.55
RXN-9634	0.3507692307692308	0.19973753280839895	0.33	0.26	0.26	0.36014285714285715	0.28	0.5683999999999999	0.4378378378378378	0.26	0.5683999999999999	0.0	0.0	0.4378378378378378	0.81	0.3	0.1716534040671972	0.1716534040671972	0.15	0.46	0.0	0.2928571428571428	0.5	0.37777777777777777	0.3388888888888889	0.0	0.527	0.0	0.2928571428571428	0.1716534040671972	0.0	0.2928571428571428	0.4	0.9500000000000001	0.7000000000000001	0.3	0.27967642526964565	0.36014285714285715	0.3413333333333333	0.36014285714285715	0.0	0.5	0.5683999999999999	0.26	0.4	0.36014285714285715	0.08444444444444445	0.5
CYTOCHROME-C-OXIDASE-RXN	1.0084615384615385	0.45236220472440947	0.0	0.0	0.0	0.9102857142857143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	1.377777777777778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7000000000000001	2.25	0.0	0.0	0.0	0.9102857142857143	0.0	0.9102857142857143	0.0	0.0	0.0	0.0	0.0	0.9102857142857143	0.49333333333333335	0.0
RXN-9660	0.19	0.11141732283464567	0.33702127659574466	0.1929896907216495	0.24175438596491228	0.2304285714285714	0.14	0.2958	0.17635135135135135	0.24175438596491228	0.2958	0.0	0.0	0.17635135135135135	0.6300000000000001	0.36	0.18698496905393458	0.18698496905393458	0.18	0.48705882352941177	0.0	0.1714285714285714	1.0	0.5777777777777778	0.2	0.0	0.3596	0.0	0.1714285714285714	0.18698496905393458	0.15	0.1714285714285714	0.4	1.2	1.1	0.19999999999999998	0.15067796610169493	0.2304285714285714	0.18133333333333332	0.2304285714285714	0.0	0.3	0.2958	0.24175438596491228	0.35000000000000003	0.2304285714285714	0.16	0.3
HISTAMINOTRANS-RXN	0.19	0.17874015748031497	0.7231914893617022	0.13737113402061857	0.13	0.38042857142857145	0.25200000000000006	0.5394	0.1804054054054054	0.13	0.5394	0.0	0.0	0.1804054054054054	0.72	0.15	0.3043766578249337	0.3043766578249337	0.1	0.5411764705882354	0.0	0.15714285714285714	0.5	0.22222222222222224	0.47222222222222227	0.0	0.527	0.0	0.15714285714285714	0.3043766578249337	0.1538961038961039	0.15714285714285714	0.2	1.65	0.4	0.3	0.14	0.38042857142857145	0.20266666666666666	0.38042857142857145	1.2073563218390806	0.25	0.5394	0.13	0.2	0.38042857142857145	0.11555555555555555	0.25
RXN-5424	0.20461538461538462	0.4429133858267717	1.0882978723404257	0.4804639175257732	0.5268421052631579	0.5261428571428571	0.462	0.6206	0.46418918918918917	0.5268421052631579	0.6206	0.0	0.0	0.46418918918918917	1.71	0.69	0.46129973474801067	0.46129973474801067	0.29	0.9064705882352943	0.0	0.525	0.5	0.6000000000000001	0.20555555555555555	0.0	0.8742	0.0	0.525	0.46129973474801067	0.4785714285714286	0.525	0.30000000000000004	0.0	0.0	0.44999999999999996	0.445562403697997	0.5261428571428571	0.5226666666666666	0.5261428571428571	1.3388505747126438	0.5	0.6206	0.5268421052631579	0.5	0.5261428571428571	0.2177777777777778	0.5
RXN-9540	0.76	0.7767716535433071	3.054255319148936	0.3357216494845361	0.23035087719298245	1.4774285714285713	0.784	1.9603999999999997	1.066216216216216	0.23035087719298245	1.9603999999999997	0.0	0.0	1.066216216216216	3.3300000000000005	0.84	0.4107957559681698	0.4107957559681698	0.6399999999999999	2.3405882352941174	0.0	0.6107142857142857	1.0	2.555555555555556	0.38333333333333336	0.0	1.2648	0.0	0.6107142857142857	0.4107957559681698	0.6584415584415584	0.6107142857142857	0.5	1.8	1.2000000000000002	0.7999999999999999	0.14215716486902927	1.4774285714285713	0.5226666666666666	1.4774285714285713	1.9245977011494255	0.6	1.9603999999999997	0.23035087719298245	0.7000000000000001	1.4774285714285713	0.6444444444444445	0.6
RXN0-949	0.19	0.10170603674540682	0.33	0.13	0.13	0.18685714285714286	0.14	0.29	0.15	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.17	0.17	0.09	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.17	0.26948051948051943	0.15	0.2	0.45	0.4	0.15	0.14	0.18685714285714286	0.16	0.18685714285714286	0.52	0.0	0.29	0.13	0.0	0.18685714285714286	0.08	0.0
METHENYLTHFCYCLOHYDRO-RXN	0.19	0.1	0.33	0.13	0.13	0.257	0.14	0.29	0.15	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.17	0.17	0.09	0.2570588235294118	0.0	0.15714285714285714	0.5	0.2	0.2	0.0	0.372	0.0	0.15714285714285714	0.17	0.1525974025974026	0.15714285714285714	0.6000000000000001	0.45	0.4	0.19999999999999998	0.14	0.257	0.16	0.257	0.52	0.25	0.29	0.13	0.2	0.257	0.08	0.25
4-HYDROXYPROLINE-EPIMERASE-RXN	0.19	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.2705882352941177	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.18	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0
