"CBM50","GH23","GH3","GT2","GT4","GT51","CBM48","GH1","GH13_11","GH13_9","GH16_3","GH2","CBM32","CBM5","GH0","GH13_10","GH13_16","GH13_26","GH15","GH20","GH24","GH29","GH43_34","GH92","GH95","interaction"
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.7375544123932
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.38154525131165
1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.48037551045497
0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74065179652201
-1,-1,-1,-2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,4.27639183435738
1,0,1,2,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,2,1,1,1,-0.0240197574001175
0,-1,1,0,0,0,-1,0,-1,-1,1,1,1,0,0,-1,0,-1,0,1,0,2,1,1,1,-5.46608481643351
-1,0,-1,-2,-2,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-2,-1,-1,-1,2.06187085305738
-1,-1,0,-2,-2,-1,-1,0,-1,-1,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,10.8382451536931
0,1,-1,0,0,0,1,0,1,1,-1,-1,-1,0,0,1,0,1,0,-1,0,-2,-1,-1,-1,2.98348309842397
1,1,0,2,2,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3.2559838865509
1,0,1,2,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,2,1,1,1,-0.0240239283010076
0,-1,1,0,0,0,-1,0,-1,-1,1,1,1,0,0,-1,0,-1,0,1,0,2,1,1,1,-5.46607366771061
-1,0,-1,-2,-2,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-2,-1,-1,-1,2.06186989267863
-1,-1,0,-2,-2,-1,-1,0,-1,-1,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,10.8382643164072
0,1,-1,0,0,0,1,0,1,1,-1,-1,-1,0,0,1,0,1,0,-1,0,-2,-1,-1,-1,2.98348415743011
1,1,0,2,2,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3.25598058857534
-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.821942286357564
0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.21794627166616
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9816020366708
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17619909996156
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10799622921893
-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35580170951689
0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.578051602983226
0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.361773312425201
0,-1,0,-2,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,2.6787866107213
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.89106987771864
0,-1,0,-2,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,2.03988894231167
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83071347857213
1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50337184447279
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.23752560580725
-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502246403045728
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45981471991647
-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48281239741209
0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19916155012982
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39073729673347
0,-2,0,-2,-7,-1,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,3.09185648380192
0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656579975907508
0,-2,0,-3,-7,-1,-1,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,-20.6955830438049
0,2,0,2,7,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3.25127574943932
0,2,0,3,7,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2.40662568501442
0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.34317778603521
-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.658642353029462
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34539165572684
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.6500774779942
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.39761027044253
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.25447754282741
