"TIGR00003","TIGR00004","TIGR00005","TIGR00008","TIGR00010","TIGR00014","TIGR00030","TIGR00036","TIGR00044","TIGR00049","TIGR00051","TIGR00056","TIGR00057","TIGR00065","TIGR00066","TIGR00067","TIGR00079","TIGR00081","TIGR00089","TIGR00093","TIGR00096","TIGR00097","TIGR00099","TIGR00110","TIGR00125","TIGR00167","TIGR00172","TIGR00177","TIGR00180","TIGR00195","TIGR00202","TIGR00203","TIGR00220","TIGR00225","TIGR00229","TIGR00231","TIGR00233","TIGR00234","TIGR00254","TIGR00275","TIGR00357","TIGR00363","TIGR00365","TIGR00369","TIGR00377","TIGR00383","TIGR00387","TIGR00399","TIGR00401","TIGR00413","TIGR00473","TIGR00484","TIGR00485","TIGR00493","TIGR00500","TIGR00506","TIGR00507","TIGR00514","TIGR00517","TIGR00520","TIGR00530","TIGR00536","TIGR00552","TIGR00557","TIGR00563","TIGR00586","TIGR00589","TIGR00594","TIGR00621","TIGR00630","TIGR00633","TIGR00637","TIGR00654","TIGR00655","TIGR00657","TIGR00674","TIGR00688","TIGR00691","TIGR00693","TIGR00706","TIGR00710","TIGR00711","TIGR00722","TIGR00723","TIGR00724","TIGR00725","TIGR00730","TIGR00738","TIGR00747","TIGR00753","TIGR00754","TIGR00757","TIGR00759","TIGR00765","TIGR00791","TIGR00796","TIGR00797","TIGR00800","TIGR00801","TIGR00813","TIGR00829","TIGR00835","TIGR00836","TIGR00838","TIGR00842","TIGR00857","TIGR00880","TIGR00883","TIGR00893","TIGR00895","TIGR00914","TIGR00915","TIGR00916","TIGR00924","TIGR00932","TIGR00949","TIGR00968","TIGR00969","TIGR00971","TIGR00998","TIGR01003","TIGR01007","TIGR01068","TIGR01072","TIGR01096","TIGR01099","TIGR01141","TIGR01143","TIGR01172","TIGR01179","TIGR01182","TIGR01202","TIGR01205","TIGR01263","TIGR01297","TIGR01341","TIGR01350","TIGR01352","TIGR01382","TIGR01386","TIGR01387","TIGR01392","TIGR01406","TIGR01411","TIGR01417","TIGR01420","TIGR01427","TIGR01433","TIGR01449","TIGR01469","TIGR01484","TIGR01488","TIGR01490","TIGR01494","TIGR01498","TIGR01509","TIGR01511","TIGR01525","TIGR01528","TIGR01534","TIGR01549","TIGR01552","TIGR01643","TIGR01646","TIGR01662","TIGR01701","TIGR01722","TIGR01726","TIGR01728","TIGR01730","TIGR01733","TIGR01780","TIGR01783","TIGR01843","TIGR01844","TIGR01845","TIGR01853","TIGR01891","TIGR01901","TIGR01930","TIGR01934","TIGR01935","TIGR01988","TIGR02001","TIGR02018","TIGR02037","TIGR02044","TIGR02074","TIGR02082","TIGR02139","TIGR02140","TIGR02154","TIGR02210","TIGR02227","TIGR02283","TIGR02348","TIGR02374","TIGR02392","TIGR02395","TIGR02428","TIGR02429","TIGR02431","TIGR02506","TIGR02532","TIGR02817","TIGR02842","TIGR02843","TIGR02847","TIGR02937","TIGR03026","TIGR03074","TIGR03188","TIGR03344","TIGR03361","TIGR03510","TIGR03558","TIGR03561","TIGR03696","TIGR03860","TIGR04022","TIGR00080","TIGR00221","TIGR00274","TIGR00277","TIGR00400","TIGR00614","TIGR00675","TIGR00745","TIGR00749","TIGR00778","TIGR00785","TIGR00786","TIGR00787","TIGR00792","TIGR00804","TIGR00879","TIGR01026","TIGR01064","TIGR01098","TIGR01184","TIGR01221","TIGR01249","TIGR01272","TIGR01396","TIGR01409","TIGR01428","TIGR01479","TIGR01493","TIGR01515","TIGR01536","TIGR01727","TIGR01764","TIGR01782","TIGR01879","TIGR01982","TIGR02095","TIGR02100","TIGR02152","TIGR02276","TIGR02281","TIGR02385","TIGR02595","TIGR02606","TIGR02607","TIGR02745","TIGR02823","TIGR02866","TIGR02891","TIGR03057","TIGR03071","TIGR03506","TIGR00013","TIGR00350","TIGR00359","TIGR00704","TIGR00758","TIGR00814","TIGR00826","TIGR00853","TIGR00909","TIGR00912","TIGR01097","TIGR01167","TIGR01178","TIGR01186","TIGR01230","TIGR01439","TIGR01451","TIGR01537","TIGR01554","TIGR01732","TIGR01784","TIGR01829","TIGR02365","TIGR02772","TIGR02887","TIGR03608","TIGR03717","TIGR03954","TIGR04265","TIGR00039","TIGR00410","TIGR00640","TIGR00641","TIGR00702","TIGR00881","TIGR00882","TIGR01187","TIGR01208","TIGR01444","TIGR02122","TIGR02605","TIGR00022","TIGR00374","TIGR00509","TIGR00638","TIGR00695","TIGR00852","TIGR00975","TIGR01002","TIGR01005","TIGR01137","TIGR01168","TIGR01180","TIGR01183","TIGR01200","TIGR01218","TIGR01315","TIGR01372","TIGR01373","TIGR01374","TIGR01375","TIGR01414","TIGR01731","TIGR01741","TIGR01742","TIGR01785","TIGR01786","TIGR01841","TIGR01842","TIGR01849","TIGR01889","TIGR01892","TIGR01926","TIGR02068","TIGR02318","TIGR02419","TIGR02436","TIGR02448","TIGR02456","TIGR02601","TIGR02646","TIGR02684","TIGR02734","TIGR02768","TIGR02985","TIGR03407","TIGR03408","TIGR03409","TIGR03410","TIGR03411","TIGR03414","TIGR03453","TIGR03454","TIGR03519","TIGR03707","TIGR04056","TIGR04057","TIGR04131","TIGR04183","TIGR04273","TIGR04393","interaction"
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.7375544123932
0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,-1,0,0,-1,1,1,0,1,0,0,0,1,4,0,0,0,5,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,-1,-1,0,0,0,0,0,0,1,1,1,1,-1,0,1,0,0,0,-1,0,0,0,1,0,-1,0,-1,0,1,1,0,0,1,-1,0,0,0,0,-1,0,1,0,-1,0,1,0,0,0,1,0,1,0,1,0,1,3,0,0,0,1,1,0,0,1,-1,1,1,0,-1,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,-2,0,4,0,0,2,0,0,2,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,2,1,1,1,1,4,1,0,0,-1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,-1,0,0,-1,0,0,0,0,0,0,0,1,1,0,-1,0,0,0,0,1,-1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.38154525131165
0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,1,0,1,0,0,0,1,5,2,0,0,7,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,3,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,5,0,0,3,0,0,2,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,1,1,1,1,5,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.48037551045497
0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,-2,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,0,-1,0,-1,0,-1,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-2,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74065179652201
0,0,-1,0,-1,0,0,0,-1,-1,-1,-1,0,0,-1,0,0,0,0,-2,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,-1,-5,-2,0,0,-7,0,-1,0,-1,0,0,0,0,0,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,0,-1,0,0,0,0,0,0,-1,0,-1,-1,0,-1,0,-1,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,-2,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,-3,0,0,0,-1,-1,0,0,-1,0,-1,-1,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-2,0,0,0,0,0,0,-5,0,0,-3,0,0,-2,0,-1,-1,-1,0,0,-1,-1,0,-1,-1,0,-1,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,-1,-3,-1,-1,-1,-1,-5,-1,0,0,0,0,0,-1,0,-1,0,0,-1,-1,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,-2,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-2,-5,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,4.27639183435738
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,-1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,-1,0,0,0,1,0,-1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,-1,0,3,-1,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,-1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,18,17,1,0,0,0,-0.0240197574001175
0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,-1,0,-1,0,0,-1,-1,-1,0,-1,0,0,-1,-1,0,-1,0,0,0,0,-8,-2,-1,0,-13,-1,0,-1,0,-1,0,-1,-1,0,-1,0,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,0,0,1,0,-1,-1,0,0,-1,-4,0,0,-1,0,-1,-1,1,-1,0,-1,-1,0,-1,0,0,0,-1,1,0,0,-1,-1,0,-1,0,-1,-2,-1,0,-1,-1,1,-1,0,0,-1,0,-1,0,0,1,0,0,-1,-1,0,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,-2,-1,0,0,1,0,0,0,-2,-1,-1,-1,-6,-1,-1,-1,-1,-4,-1,0,-3,0,-1,-1,-2,0,-1,-1,-1,0,-1,0,-1,0,0,0,-1,0,-1,0,0,-1,0,0,-1,-1,-1,0,-2,0,0,0,0,7,0,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,0,1,0,0,0,-1,0,-1,0,-1,-2,0,0,0,-1,-1,-1,-1,-1,0,1,-1,0,-1,0,0,0,0,-2,-1,0,-1,0,0,0,0,-1,0,0,-2,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,7,-1,-1,-1,-1,-1,0,0,0,1,0,18,17,1,0,0,0,-5.46608481643351
0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,1,0,0,0,-1,0,1,0,0,0,0,-1,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,1,0,-3,1,0,-1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,-1,0,-18,-17,-1,0,0,0,2.06187085305738
0,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,-1,0,-1,0,-1,-1,-1,-1,1,-1,-1,0,-1,-1,0,-1,0,0,0,0,-7,-3,-1,0,-12,-1,0,-1,0,-1,0,-1,-1,0,-1,0,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,0,0,0,0,-1,-1,0,0,-1,-3,0,0,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,1,0,0,-1,0,0,1,-1,-1,0,-1,-1,-1,-2,-1,-1,-2,-1,0,-1,0,0,-1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,-1,0,0,0,-1,-1,-1,-2,-1,-1,-1,0,0,0,0,-1,0,0,-1,0,0,-1,0,-2,0,-3,-1,-1,0,0,0,0,0,-2,-1,-1,-1,-5,-1,-4,0,-1,-5,-1,0,-4,0,0,-1,-2,0,-1,-1,-1,0,-1,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,-1,-1,-1,0,-2,0,0,0,0,-3,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,-2,0,1,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,1,-1,-1,0,1,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,10.8382451536931
0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,8,2,1,0,13,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,-1,0,1,1,0,0,1,4,0,0,1,0,1,1,-1,1,0,1,1,0,1,0,0,0,1,-1,0,0,1,1,0,1,0,1,2,1,0,1,1,-1,1,0,0,1,0,1,0,0,-1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,0,0,-1,0,0,0,2,1,1,1,6,1,1,1,1,4,1,0,3,0,1,1,2,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,2,0,0,0,0,-7,0,0,0,0,1,1,0,0,0,1,1,1,0,0,-1,0,0,0,1,0,1,0,1,2,0,0,0,1,1,1,1,1,0,-1,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-7,1,1,1,1,1,0,0,0,-1,0,-18,-17,-1,0,0,0,2.98348309842397
