"","x"
"1",-4.73755579993182
"2",3.38154527106552
"3",1.48037579137943
"4",2.74064986136926
"5",4.27639342181195
"6",-0.0240217600676865
"7",-5.46608120303332
"8",2.06186990588117
"9",10.8382640728742
"10",2.98348347914487
"11",3.25598169690603
"12",0.821942114418944
"13",-5.21794612986552
"14",2.98160194622192
"15",2.1761993674328
"16",2.10799628970329
"17",6.35580226981005
"18",-0.578051673648637
"19",-0.361776234047784
"20",2.67878688145223
"21",-4.89107320889859
"22",2.0398879225959
"23",7.83072244425171
"24",1.50336986996324
"25",-5.23760144138468
"26",0.502238801107552
"27",2.45986504001053
"28",1.48282268958521
"29",6.19914949017777
"30",1.39073730104222
"31",3.09185675824381
"32",0.656583894848103
"33",-20.6956424956593
"34",3.25127575796067
"35",2.40662569374245
"36",-1.34317766406686
"37",-0.658641922839736
"38",3.34539182426572
"39",-15.6500859281764
"40",5.3977738324806
"41",-4.25578749393192
"42",-1.88154311152518
"43",-0.753414163307682
"44",3.81970353308125
"45",-1.1774836680722
"46",3.19078393261217
"47",2.78260187237733
