"1- and 2-Methylnaphthalene degradation","Aminophosphonate metabolism","Amyotrophic lateral sclerosis (ALS)","Androgen and estrogen metabolism","Antigen processing and presentation","Apoptosis","Biosynthesis of ansamycins","Biosynthesis of vancomycin group antibiotics","Biotin metabolism","Bisphenol A degradation","Caprolactam degradation","Cyanoamino acid metabolism","Cytokine-cytokine receptor interaction","D-Alanine metabolism","D-Arginine and D-ornithine metabolism","Epithelial cell signaling in Helicobacter pylori infection","Fluorobenzoate degradation","Folate biosynthesis","Inositol metabolism","Insulin signaling pathway","Linoleic acid metabolism","Lipoic acid metabolism","N-Glycan biosynthesis","Neuroactive ligand-receptor interaction","Nucleotide excision repair","Penicillin and cephalosporin biosynthesis","Polyketide sugar unit biosynthesis","Prostate cancer","Protein export","Regulation of actin cytoskeleton","Riboflavin metabolism","Streptomycin biosynthesis","Synthesis and degradation of ketone bodies","Terpenoid biosynthesis","Tetrachloroethene degradation","Tetracycline biosynthesis","Type IV secretion system","Ubiquitin mediated proteolysis","Zeatin biosynthesis","beta-Lactam resistance","interaction"
0,0,0,0,0.13,0,0.50859649122807,0.155087719298246,0.13,0,0,0,0,0,0,0.145964912280702,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,-4.73755579993182
0,0,0,0,0.4094,0,-0.21859649122807,0.152312280701754,0.16,0,0,0,0,0,0,-0.145964912280702,0,-0.13,0,0,0,-0.13,0.3422,0,0,0.29,0.29,0,-0.13,0,-0.13,0,0.29,-0.13,0,0.16,0.3132,0,0.16,0,3.38154527106552
0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,1.48037579137943
0,0,0,0,-0.13,0,-0.50859649122807,-0.155087719298246,-0.13,0,0,0,0,0,0,-0.145964912280702,0,-0.13,0,0,0,-0.13,0,0,0,0,0,0,-0.13,0,-0.13,0,0,-0.13,0,-0.13,0,0,-0.13,0,2.74064986136926
0,0,0,0,-0.5394,0,-0.29,-0.3074,-0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3422,0,0,-0.29,-0.29,0,0,0,0,0,-0.29,0,0,-0.29,-0.3132,0,-0.29,0,4.27639342181195
0,-0.1,-0.1,0.19,0.233846153846154,0,0.295824752675146,-0.125459317585302,0.09,0,0,0,-0.1,-0.1,-0.17007874015748,0,0,0,0,-0.1,0.19,0,-0.1,0,0,0,-0.11496062992126,0,0,0,0,0,0,0,0,0.0897375328083989,-0.1,0,0.265384615384615,-0.1,-0.0240217600676865
0,0,0,0.19,-0.0961538461538461,0,-0.774500818330606,-0.505531914893617,-0.14,0,0,0,0,0,-0.33,0,0,0,0,0,0.19,0,0,0,0,0,-0.372127659574468,0,0,0,0,0,-0.33,0,0,-0.14,0,0,0.0353846153846154,0,-5.46608120303332
0,0.1,0.1,-0.19,-0.233846153846154,0,-0.295824752675146,0.125459317585302,-0.09,0,0,0,0.1,0.1,0.17007874015748,0,0,0,0,0.1,-0.19,0,0.1,0,0,0,0.11496062992126,0,0,0,0,0,0,0,0,-0.0897375328083989,0.1,0,-0.265384615384615,0.1,2.06186990588117
0,0.1,0.1,0,-0.33,0,-1.07032557100575,-0.380072597308315,-0.23,0,0,0,0.1,0.1,-0.15992125984252,0,0,0,0,0.1,0,0,0.1,0,0,0,-0.257167029653208,0,0,0,0,0,-0.33,0,0,-0.229737532808399,0.1,0,-0.23,0.1,10.8382640728742
0,0,0,-0.19,0.0961538461538461,0,0.774500818330606,0.505531914893617,0.14,0,0,0,0,0,0.33,0,0,0,0,0,-0.19,0,0,0,0,0,0.372127659574468,0,0,0,0,0,0.33,0,0,0.14,0,0,-0.0353846153846154,0,2.98348347914487
0,-0.1,-0.1,0,0.33,0,1.07032557100575,0.380072597308315,0.23,0,0,0,-0.1,-0.1,0.15992125984252,0,0,0,0,-0.1,0,0,-0.1,0,0,0,0.257167029653208,0,0,0,0,0,0.33,0,0,0.229737532808399,-0.1,0,0.23,-0.1,3.25598169690603
0,-0.15,0,0,-0.15,0,-0.549324324324324,-0.222972972972973,-0.15,-0.15,0,0,0,0,0,0,0,-0.15,0,0,0,-0.15,0,0,0,0,-0.15,0,-0.15,0,0,-0.15,0,0,0,-0.15,0,0,-0.15,0,0.821942114418944
0,0,0,0,0,0,-0.63,-0.45,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.27,0,-0.45,0,0,0,0,-0.27,-0.27,0,0,-0.27,-0.36,0,-0.27,0,-5.21794612986552
0,0.15,0,0,0.15,0,0.549324324324324,0.222972972972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,2.98160194622192
0,0.15,0,0,0.15,0,-0.0806756756756758,-0.227027027027027,0.15,0.15,0,0,0,0,-0.45,0,0,0.15,0,0,0,0.15,0,0,-0.27,0,-0.3,0,0.15,0,0,-0.12,-0.27,0,0,-0.12,-0.36,0,-0.12,0,2.1761993674328
0,0,0,0,0,0,0.63,0.45,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0.27,0,0.45,0,0,0,0,0.27,0.27,0,0,0.27,0.36,0,0.27,0,2.10799628970329
