ASV,interaction,"Predicted pH (XGBoost, permutation)"
0,-4.737554412,0.13000739
1,3.381545251,1.7120206
2,1.48037551,1.7120206
3,2.740651797,1.5493417
4,4.276391834,2.7829418
5,-0.024019757,1.7120206
6,-5.466084816,-5.088335
7,2.061870853,2.7829418
8,10.83824515,0.47724193
9,2.983483098,2.9275117
10,3.255983887,1.7120206
11,-0.024023928,1.7120206
12,-5.466073668,-5.088335
13,2.061869893,2.7829418
14,10.83826432,0.47724193
15,2.983484157,2.9275117
16,3.255980589,1.7120206
17,0.821942286,1.5493417
18,-5.217946272,1.5493417
19,2.981602037,0.13000739
20,2.1761991,0.13000739
21,2.107996229,0.13000739
22,6.35580171,0.13000739
23,-0.578051603,-0.4383707
24,-0.361773312,-0.4383707
25,2.678786611,1.5493417
26,-4.891069878,1.5493417
27,2.039888942,1.5493417
28,7.830713479,1.5493417
29,1.503371844,0.13000739
30,-5.237525606,0.13000739
31,0.502246403,0.13000739
32,2.45981472,0.13000739
33,1.482812397,1.5493417
34,6.19916155,1.5493417
35,1.390737297,0.13000739
36,3.091856484,2.5770116
37,0.656579976,1.5493417
38,-20.69558304,0.47724193
39,3.251275749,2.76672
40,2.406625685,2.76672
41,-1.343177786,1.5493417
42,-0.658642353,1.5493417
43,3.345391656,0.13000739
44,-15.65007748,0.13000739
45,5.39761027,0.13000739
46,-4.254477543,0.13000739
47,-1.881542953,-1.7246301
48,-0.753414431,-0.5990441
49,3.819703493,1.7120206
50,-1.177482929,1.7120206
51,3.190784543,0.13000739
52,2.782600841,2.9275117
