,gene,mdi
0,after COG2513,0.11327902
1,after COG0609,0.08426239
2,after COG0010,0.07979751
3,befor COG0395,0.07634002
4,befor COG0174,0.07264392
5,befor COG1051,0.05367037
6,after COG2801,0.035522778
7,befor COG0111,0.032979608
8,after COG0223,0.031913776
9,befor COG0516,0.028793884
10,after COG0002,0.028470855
11,after COG0300,0.021321451
12,befor COG1396,0.020766737
13,after COG0004,0.017936602
14,after COG1226,0.017884845
15,after COG0394,0.016688656
16,after COG0028,0.014997543
17,befor COG1024,0.014902618
18,befor COG1115,0.014443667
19,after COG0764,0.013693452
20,befor COG0057,0.011237308
21,after COG0523,0.010428761
22,befor COG1501,0.010264585
23,befor COG1225,0.007956457
24,after COG0265,0.007381671
25,befor COG2814,0.007361272
26,befor COG0125,0.0069524865
27,after COG2059,0.006664816
28,after COG0601,0.0064799623
29,befor COG1473,0.00594637
30,befor COG0659,0.0056044147
31,after COG2721,0.005531422
32,befor COG0747,0.004945887
33,after COG0001,0.004826858
34,befor COG0235,0.0043917685
35,after COG1113,0.004163885
36,befor COG1680,0.0041038315
37,befor COG1476,0.004005916
38,befor COG0673,0.003989241
39,after COG0614,0.00393164
40,befor COG0768,0.0038531842
41,after COG3515,0.0034317286
42,after COG0399,0.003382566
43,befor COG2801,0.0032109888
44,after COG0561,0.0029962922
45,after COG1846,0.002864155
46,after COG1974,0.0027608217
47,befor COG0110,0.00269568
48,after COG2376,0.0024870716
49,befor COG0028,0.002474516
50,befor COG1917,0.0024391436
51,befor COG1960,0.0024375713
52,befor COG1120,0.0022429724
53,after COG1529,0.0021686617
54,after COG0789,0.001795847
55,after COG2050,0.0017841589
56,befor COG0154,0.0017312313
57,after COG1960,0.001683613
58,befor COG0223,0.0016210239
59,after COG1651,0.0015030315
60,befor COG1846,0.0013941921
61,after COG0288,0.0013796288
62,after COG0366,0.001219835
63,after COG0695,0.0012143498
64,befor COG1143,0.0010860299
65,after COG0604,0.0010452645
66,after COG0111,0.0010281049
67,after COG0183,0.000999874
68,after COG3157,0.0009299379
69,after COG1501,0.0008956326
70,befor COG1737,0.0008899951
71,after COG0624,0.000806459
72,befor COG0444,0.000761208
73,after COG3468,0.00076117885
74,after COG0456,0.00068390684
75,befor COG0524,0.0006716285
76,befor COG0860,0.0006644122
77,after COG0534,0.00066079665
78,befor COG0069,0.00063589314
79,befor COG0191,0.0005953678
80,befor COG0031,0.0005837362
81,befor COG0260,0.0005817192
82,after COG1476,0.0005724237
83,after COG0437,0.0005320706
84,befor COG0620,0.00052621035
85,befor COG0612,0.0004997554
86,befor COG0614,0.0004973356
87,after COG0392,0.00048177416
88,after COG1670,0.00045352383
89,befor COG2244,0.00044413423
90,after COG0842,0.00042001324
91,after COG3547,0.00040917323
92,after COG1020,0.00039463036
