,gene,permimpt
0,befor Polyketide sugar unit biosynthesis,0.7382141943977992
1,befor Epithelial cell signaling in Helicobacter pylori infection,0.647561338762942
2,after Synthesis and degradation of ketone bodies,0.23867348020175258
3,befor Biosynthesis of vancomycin group antibiotics,0.06574434148084436
4,befor Biosynthesis of ansamycins,0.062189403323402816
5,after Biosynthesis of vancomycin group antibiotics,0.04347906423747683
6,after Antigen processing and presentation,0.03576444687760973
7,after Bisphenol A degradation,0.022845731855540154
8,after Riboflavin metabolism,0.014975190582464793
9,after Lipoic acid metabolism,0.007340370768972959
10,befor Bisphenol A degradation,0.006097727647608564
11,after D-Alanine metabolism,0.005987465897719346
12,after Tetracycline biosynthesis,0.0052220006451881625
