,gene,mdi
0,befor K01752,0.15217027
1,after K00615,0.062403373
2,after K01424,0.057170715
3,after K01430,0.050076954
4,befor K02372,0.0475141
5,befor K01243,0.043934613
6,befor K01840,0.0384891
7,after K00963,0.031783275
8,befor K02551,0.029511541
9,after K00117,0.027250864
10,after K02032,0.026541011
11,befor K01066,0.026066309
12,after K03781,0.02490976
13,after K03430,0.024905382
14,after K01682,0.02387649
15,after K01779,0.022159243
16,befor K01681,0.017170139
17,befor K00262,0.016459454
18,befor K00680,0.016410576
19,befor K02337,0.016287262
20,after K01586,0.015181834
21,befor K00128,0.0125285685
22,after K02073,0.011487356
23,after K02517,0.011279478
24,befor K07250,0.010956399
25,after K00883,0.008151235
26,befor K02552,0.008106036
27,befor K01478,0.0073341723
28,after K02016,0.007162788
29,after K02031,0.006233161
30,befor K01759,0.006131102
31,after K00382,0.006110502
32,befor K01425,0.0060211117
33,after K00852,0.0059235096
34,after K03110,0.005732646
35,after K00847,0.0053410367
36,after K00099,0.0049495813
37,after K01816,0.004908646
38,after K00121,0.004635804
39,befor K01791,0.0045396746
40,befor K07246,0.0043448764
41,befor K01760,0.0040204157
42,after K00769,0.003935236
43,after K00549,0.0039123055
44,after K00863,0.0037568912
45,befor K00074,0.0036442566
46,after K01465,0.0033627392
47,befor K00818,0.003354713
48,after K02414,0.0031019866
49,befor K01720,0.0025758864
50,after K01738,0.002496107
51,befor K04073,0.0023268475
52,befor K00549,0.0023260263
53,befor K00878,0.0023233653
54,after K02045,0.0022236356
55,befor K01754,0.0021520264
56,befor K00615,0.0020848785
57,after K01433,0.0020174528
58,after K00640,0.001963135
59,befor K01738,0.0019507029
60,befor K03417,0.0018562162
61,after K00647,0.0017393295
62,befor K01784,0.0017260697
63,befor K01755,0.0015007571
64,after K02337,0.0013943105
65,after K01488,0.0013681562
66,befor K00384,0.001358623
67,after K00611,0.0012646064
68,befor K01448,0.0011482321
69,befor K03075,0.001000448
70,after K02914,0.0009875741
71,befor K02015,0.00095978775
72,after K01752,0.0009317291
73,after K00128,0.00091519963
74,after K03182,0.00091275247
75,befor K00926,0.0008593477
76,befor K01439,0.0008185667
77,after K00818,0.0008020778
78,befor K00287,0.00078597857
79,after K00041,0.0007679954
80,befor K02116,0.00070767786
81,befor K00666,0.0006231956
82,befor K00382,0.000617983
83,after K01061,0.00054340507
84,befor K04487,0.0005362286
85,befor K01011,0.00047684327
86,after K00362,0.00041187974
87,after K02411,0.0003784884
88,befor K01584,0.00033713598
89,befor K03655,0.00032397258
90,befor K00760,0.0003134227
91,befor K02073,0.00029156482
92,befor K00239,0.00028833523
