ASV,interaction,"Predicted pH (XGBoost, permutation)"
0,-4.7375544123932,-0.5341315
1,3.38154525131165,0.74812245
2,1.48037551045497,0.74812245
3,2.74065179652201,0.74812245
4,4.27639183435738,0.74812245
5,-0.0240197574001175,0.17657542
6,-5.46608481643351,0.17657542
7,2.06187085305738,0.7481224
8,10.8382451536931,1.4524605
9,2.98348309842397,0.86599946
10,3.2559838865509,0.86599946
11,-0.0240239283010076,0.17657542
12,-5.46607366771061,0.17657542
13,2.06186989267863,0.7481224
14,10.8382643164072,1.4524605
15,2.98348415743011,0.86599946
16,3.25598058857534,0.86599946
17,0.821942286357564,0.4344571
18,-5.21794627166616,0.4344571
19,2.9816020366708,0.71475065
20,2.17619909996156,0.62956226
21,2.10799622921893,0.77959925
22,6.35580170951689,0.86599946
23,-0.578051602983226,0.17657542
24,-0.361773312425201,0.17657542
25,2.6787866107213,0.7481224
26,-4.89106987771864,0.7481224
27,2.03988894231167,0.7481224
28,7.83071347857213,0.7481224
29,1.50337184447279,0.62956226
30,-5.23752560580725,0.17657545
31,0.502246403045728,0.5001644
32,2.45981471991647,0.71475065
33,1.48281239741209,0.7481224
34,6.19916155012982,1.4524608
35,1.39073729673347,0.7481224
36,3.09185648380192,0.7481224
37,0.656579975907508,-1.0502582
38,-20.6955830438049,-1.0502582
39,3.25127574943932,0.86599946
40,2.40662568501442,0.86599946
41,-1.34317778603521,0.17657545
42,-0.658642353029462,0.17657542
43,3.34539165572684,0.8767779
44,-15.6500774779942,-0.5341315
45,5.39761027044253,0.8767779
46,-4.25447754282741,0.17657545
47,-1.88154295299806,0.17657545
48,-0.753414431243679,0.62956226
49,3.81970349258158,0.7481224
50,-1.17748292888258,0.43445712
51,3.19078454277991,0.87677795
52,2.78260084062939,0.71475065
