,gene,permimpt
0,after K02073,0.8236099449745662
1,befor K00262,0.22688715972243195
2,befor K01243,0.1630097298531118
3,after K03781,0.1536329795213412
4,befor K01759,0.1383661206667091
5,after K00963,0.10080441077310665
6,after K00382,0.07618680545011887
7,befor K02372,0.06652137419394726
8,after K01424,0.05794775145980602
9,after K00863,0.05627843126926406
10,befor K01840,0.049725675518612976
11,befor K00128,0.045476659036791836
12,befor K00382,0.0417939630087125
13,after K03110,0.012197559333840546
14,befor K00074,0.008099007795470303
15,after K02031,0.008001583726803551
16,befor K01478,0.007647115315691932
17,after K06131,0.007414399223672796
18,befor K01011,0.0067445544027430636
19,befor K01754,0.0065551950566741235
