,gene,mdi
0,befor pfam01136,0.117127515
1,befor pfam00550,0.107458405
2,after pfam00353,0.09641563
3,befor pfam14903,0.069653444
4,after pfam02308,0.050318196
5,befor pfam00158,0.046828326
6,after pfam00069,0.03286888
7,befor pfam02786,0.030501978
8,after pfam01037,0.027229367
9,after pfam00152,0.026314385
10,after pfam00263,0.023355504
11,befor pfam01228,0.021052474
12,befor pfam13183,0.020818653
13,after pfam03279,0.020085437
14,after pfam00202,0.014282322
15,after pfam02746,0.014057888
16,after pfam00015,0.012000041
17,after pfam00990,0.01196147
18,after pfam02525,0.011732502
19,after pfam00196,0.011596803
20,after pfam16901,0.010163644
21,befor pfam02517,0.009673658
22,after pfam00873,0.009410672
23,befor pfam07883,0.008256576
24,after pfam01625,0.0075218757
25,after pfam00899,0.0074920417
26,after pfam00005,0.0070069795
27,after pfam02896,0.0067705517
28,after pfam00239,0.0063874456
29,after pfam00296,0.0062611764
30,befor pfam00072,0.0062247156
31,befor pfam00590,0.00554245
32,after pfam03865,0.005504346
33,befor pfam02493,0.0051095695
34,befor pfam04851,0.0050582313
35,befor pfam00595,0.0049332124
36,befor pfam00027,0.004858146
37,befor pfam05638,0.0046986095
38,after pfam00324,0.004577601
39,befor pfam02378,0.0044431738
40,befor pfam00529,0.0043983897
41,befor pfam07833,0.004244731
42,befor pfam13302,0.00411959
43,befor pfam02899,0.004093466
44,after pfam07670,0.0039784666
45,befor pfam00384,0.0035856988
46,after pfam05232,0.0033813755
47,befor pfam00044,0.003298082
48,befor pfam00441,0.0032076295
49,befor pfam02775,0.0031484016
50,befor pfam00854,0.002963047
51,befor pfam00903,0.0029088738
52,after pfam07690,0.002648472
53,after pfam12399,0.0024063105
54,befor pfam00106,0.0023574908
55,befor pfam02776,0.0023569555
56,after pfam01580,0.0023204556
57,after pfam03358,0.0022293623
58,befor pfam00005,0.0021582602
59,befor pfam01032,0.0018396947
60,befor pfam01497,0.0016953822
61,befor pfam12951,0.0016305217
62,befor pfam00015,0.0015827798
63,after pfam01476,0.0015400111
64,befor pfam01266,0.001493304
65,after pfam00004,0.0014373204
66,after pfam00496,0.0013479675
67,befor pfam12833,0.0013243766
68,befor pfam00004,0.0012923095
69,befor pfam01381,0.0012863581
70,after pfam01263,0.001278662
71,after pfam00132,0.0012726972
72,after pfam00805,0.0011419398
73,after pfam03009,0.0010907275
74,after pfam07963,0.0010331594
75,after pfam01077,0.00097402156
76,befor pfam01544,0.00096791633
77,befor pfam04397,0.0009591416
78,after pfam13180,0.0009359355
79,after pfam07730,0.00092104234
80,after pfam00044,0.00086038763
81,befor pfam05231,0.000815786
82,after pfam00120,0.0008146601
83,befor pfam01047,0.00069929555
84,after pfam05860,0.00066860195
85,befor pfam01546,0.00060143677
86,after pfam00085,0.0005794113
87,after pfam00881,0.0005709571
88,after pfam01842,0.0005129949
89,after pfam01243,0.00050127704
90,after pfam02493,0.0004910724
91,befor pfam00593,0.00044280334
92,after pfam00595,0.0004374605
93,befor pfam01943,0.00043409131
94,after pfam12245,0.00043276232
95,after pfam02447,0.00041945965
96,befor pfam00353,0.00040494598
97,after pfam03797,0.00035768814
98,after pfam07833,0.0003137946
99,befor pfam00672,0.00030698156
