ASV,interaction,"Predicted pH (XGBoost, permutation)"
0,-4.7375544123932,-0.20103908
1,3.38154525131165,0.39835697
2,1.48037551045497,0.39835697
3,2.74065179652201,0.5972718
4,4.27639183435738,0.75121415
5,-0.0240197574001175,0.39835697
6,-5.46608481643351,0.20542505
7,2.06187085305738,0.6688999
8,10.8382451536931,1.1777301
9,2.98348309842397,0.7394513
10,3.2559838865509,0.7434352
11,-0.0240239283010076,0.39835697
12,-5.46607366771061,0.20542505
13,2.06186989267863,0.6688999
14,10.8382643164072,1.1777301
15,2.98348415743011,0.7394513
16,3.25598058857534,0.7434352
17,0.821942286357564,0.5972718
18,-5.21794627166616,0.75121415
19,2.9816020366708,0.7434352
20,2.17619909996156,0.75121415
21,2.10799622921893,0.74343526
22,6.35580170951689,0.7434352
23,-0.578051602983226,0.39835697
24,-0.361773312425201,0.39835697
25,2.6787866107213,0.75121415
26,-4.89106987771864,0.5972718
27,2.03988894231167,0.75121415
28,7.83071347857213,0.5972718
29,1.50337184447279,0.75121415
30,-5.23752560580725,0.39835697
31,0.502246403045728,0.53107536
32,2.45981471991647,0.74343526
33,1.48281239741209,0.5972718
34,6.19916155012982,0.75121415
35,1.39073729673347,0.5678008
36,3.09185648380192,0.75121415
37,0.656579975907508,-0.546532
38,-20.6955830438049,-0.546532
39,3.25127574943932,0.7512142
40,2.40662568501442,0.6469095
41,-1.34317778603521,0.4089931
42,-0.658642353029462,0.38396063
43,3.34539165572684,0.6404912
44,-15.6500774779942,-0.20103908
45,5.39761027044253,0.7512142
46,-4.25447754282741,0.39835697
47,-1.88154295299806,0.38396063
48,-0.753414431243679,0.6404912
49,3.81970349258158,0.7512142
50,-1.17748292888258,0.39835697
51,3.19078454277991,0.7512142
52,2.78260084062939,0.7512142
