,gene,permimpt
0,befor pfam14903,0.3568474101405168
1,befor pfam00595,0.1225043413791113
2,befor pfam12833,0.09403652841737871
3,after pfam00120,0.08509811436789634
4,befor pfam00254,0.06400322617335039
5,after pfam00899,0.061329239925550706
6,befor pfam07687,0.05343444220786324
7,after pfam01476,0.05278358786164983
8,after pfam05232,0.051918198700928044
9,befor pfam00854,0.04474713421939382
10,after pfam07730,0.04020902471604197
11,after pfam03865,0.03969311990876816
12,after pfam00196,0.032169917241233616
13,befor pfam12951,0.027573372805547013
14,after pfam00704,0.018714632163453947
15,after pfam00881,0.013093431800390553
16,after pfam02746,0.012795937006143631
17,befor pfam01228,0.012216035467510022
18,befor pfam12800,0.01213095608634902
19,befor pfam05638,0.011033571738454317
20,after pfam04397,0.010498070836320572
21,befor pfam00015,0.010250975320176759
22,after pfam00144,0.01020076378337682
23,befor pfam02378,0.009747970300169051
24,after pfam00873,0.00971372884808357
25,befor pfam02776,0.009373204417672176
26,befor pfam02899,0.009011725904221968
27,after pfam02378,0.008660571690861697
28,befor pfam00672,0.008406409197057752
29,after pfam00990,0.008393990820587071
30,after pfam05860,0.0076197865814321645
31,after pfam02525,0.007464328383047491
32,befor pfam04851,0.006947927792884534
33,befor pfam00012,0.006875097781852801
34,after pfam07690,0.005778940690453549
