,gene,mdi
0,after TIGR00507,0.2951225
1,befor TIGR00254,0.10385684
2,befor TIGR02276,0.075238
3,after TIGR01730,0.06689684
4,after TIGR00008,0.05047521
5,befor TIGR00792,0.04895217
6,befor TIGR02601,0.035773974
7,after TIGR00229,0.0313831
8,befor TIGR01784,0.027788362
9,befor TIGR03344,0.023852441
10,after TIGR00857,0.018696925
11,befor TIGR01297,0.018026372
12,after TIGR00110,0.015810749
13,befor TIGR00093,0.0141212465
14,befor TIGR00229,0.012755445
15,befor TIGR00359,0.012440618
16,after TIGR00231,0.011819057
17,after TIGR00359,0.009175494
18,after TIGR00711,0.0074517624
19,after TIGR00745,0.0069240397
20,befor TIGR00711,0.0055289874
21,befor TIGR00005,0.0055093565
22,befor TIGR01726,0.005495375
23,after TIGR00099,0.0052170716
24,after TIGR02276,0.005205273
25,after TIGR01186,0.0051951865
26,after TIGR00066,0.004687123
27,befor TIGR01733,0.004291255
28,befor TIGR01534,0.004261154
29,after TIGR01414,0.0041545015
30,after TIGR01494,0.00401866
31,after TIGR01732,0.003839547
32,befor TIGR00893,0.003158397
33,befor TIGR01186,0.002918738
34,befor TIGR01732,0.002822723
35,befor TIGR00167,0.002611052
36,after TIGR00254,0.002358577
37,after TIGR00177,0.0021903652
38,befor TIGR01646,0.0019915209
39,befor TIGR00657,0.0019018672
40,after TIGR00924,0.0016295636
41,after TIGR01901,0.0014347337
42,befor TIGR00231,0.0013989246
43,after TIGR00893,0.0013540187
