ASV,interaction,"Predicted pH (XGBoost, permutation)"
0,-4.7375544123932,0.34312063
1,3.38154525131165,0.774795
2,1.48037551045497,0.774795
3,2.74065179652201,0.89876395
4,4.27639183435738,1.0613713
5,-0.0240197574001175,0.41829467
6,-5.46608481643351,-0.20939165
7,2.06187085305738,0.80779195
8,10.8382451536931,2.0384765
9,2.98348309842397,1.0130732
10,3.2559838865509,1.0130732
11,-0.0240239283010076,0.41829467
12,-5.46607366771061,-0.20939165
13,2.06186989267863,0.80779195
14,10.8382643164072,2.0384765
15,2.98348415743011,1.0130732
16,3.25598058857534,1.0130732
17,0.821942286357564,0.5938264
18,-5.21794627166616,-0.20939165
19,2.9816020366708,1.0130732
20,2.17619909996156,0.6993073
21,2.10799622921893,0.80779195
22,6.35580170951689,2.0384765
23,-0.578051602983226,0.34877148
24,-0.361773312425201,0.34877148
25,2.6787866107213,0.8077919
26,-4.89106987771864,0.8077919
27,2.03988894231167,0.8077919
28,7.83071347857213,0.8077919
29,1.50337184447279,1.0613713
30,-5.23752560580725,-0.1822164
31,0.502246403045728,0.80779195
32,2.45981471991647,0.80779195
33,1.48281239741209,0.898764
34,6.19916155012982,1.0613713
35,1.39073729673347,0.7715027
36,3.09185648380192,0.7715026
37,0.656579975907508,-2.0202463
38,-20.6955830438049,-2.0202463
39,3.25127574943932,0.80779195
40,2.40662568501442,0.80779195
41,-1.34317778603521,0.3431206
42,-0.658642353029462,-0.84938604
43,3.34539165572684,0.3431206
44,-15.6500774779942,-0.84938604
45,5.39761027044253,0.3431206
46,-4.25447754282741,0.34312063
47,-1.88154295299806,0.2168243
48,-0.753414431243679,1.0130732
49,3.81970349258158,0.7020381
50,-1.17748292888258,0.7020381
51,3.19078454277991,1.0130732
52,2.78260084062939,0.6993073
