ASV,interaction,"Predicted pH (XGBoost, permutation)"
0,-4.73755579993182,0.49270242
1,3.38154527106552,0.5166042
2,1.48037579137943,0.5166042
3,2.74064986136926,0.49270242
4,4.27639342181195,0.49270242
5,-0.0240217600676865,0.5166042
6,-5.46608120303332,0.7584566
7,2.06186990588117,0.49270242
8,10.8382640728742,0.75845665
9,2.98348347914487,0.5989737
10,3.25598169690603,0.5989737
11,0.821942114418944,0.49270242
12,-5.21794612986552,0.49270242
13,2.98160194622192,0.49270242
14,2.1761993674328,0.49270242
15,2.10799628970329,0.49270242
16,6.35580226981005,0.49270242
17,-0.578051673648637,0.49270242
18,-0.361776234047784,0.49270242
19,2.67878688145223,0.49270242
20,-4.89107320889859,0.49270242
21,2.0398879225959,0.49270242
22,7.83072244425171,0.49270242
23,1.50336986996324,0.49270242
24,-5.23760144138468,0.49270242
25,0.502238801107552,0.49270242
26,2.45986504001053,0.49270242
27,1.48282268958521,0.49270242
28,6.19914949017777,0.49270242
29,1.39073730104222,0.49270242
30,3.09185675824381,0.49270242
31,0.656583894848103,0.49270242
32,-20.6956424956593,0.49270242
33,3.25127575796067,0.5989737
34,2.40662569374245,0.5989737
35,-1.34317766406686,0.49270242
36,-0.658641922839736,0.49270242
37,3.34539182426572,0.49270242
38,-15.6500859281764,0.49270242
39,5.3977738324806,0.49270242
40,-4.25578749393192,0.49270242
41,-1.88154311152518,0.49270242
42,-0.753414163307682,0.49270242
43,3.81970353308125,0.5166042
44,-1.1774836680722,0.5166042
45,3.19078393261217,0.49270242
46,2.78260187237733,0.49270242
