,gene,mdi
0,after COG0071,0.11519317
1,after COG2513,0.101726025
2,after COG0687,0.08989809
3,after COG0179,0.037648946
4,after COG0010,0.03514352
5,befor COG0111,0.033002257
6,after COG1174,0.03242416
7,after COG3515,0.031828627
8,befor COG1082,0.031476997
9,befor COG0789,0.03144244
10,after COG0385,0.030183556
11,befor COG0657,0.029446946
12,befor COG1455,0.027958808
13,befor COG0115,0.025921952
14,befor COG0456,0.024178661
15,befor COG1131,0.016601242
16,after COG0578,0.016276717
17,befor COG0747,0.01513413
18,after COG0437,0.01343324
19,after COG1196,0.01253061
20,after COG0243,0.011624468
21,befor COG2165,0.011608902
22,befor COG0437,0.011485156
23,after COG0115,0.011324004
24,befor COG0523,0.008760021
25,befor COG0534,0.008526502
26,after COG1846,0.008434653
27,befor COG0209,0.007743674
28,befor COG1359,0.0072195376
29,after COG1063,0.006720495
30,after COG0176,0.0066058715
31,befor COG0057,0.0063733887
32,after COG0778,0.005764
33,after COG0516,0.0057604765
34,after COG0523,0.0055024563
35,befor COG0176,0.0051592416
36,befor COG0778,0.0050437134
37,befor COG0516,0.004870492
38,after COG1250,0.004560741
39,after COG1249,0.0043216157
40,befor COG0318,0.004168675
41,after COG0057,0.003850039
42,befor COG1686,0.0036078915
43,after COG1960,0.003512702
44,after COG0456,0.0035023782
45,after COG2059,0.0034540282
46,befor COG0110,0.0034021253
47,after COG0028,0.0032285724
48,befor COG1404,0.0029776522
49,after COG0561,0.0029684363
50,after COG1192,0.0029134694
51,after COG0031,0.0028456044
52,after COG0300,0.002781911
53,after COG0730,0.0026536512
54,befor COG0007,0.0026242363
55,after COG0389,0.002580488
56,befor COG0840,0.0023623686
57,after COG0739,0.002023014
58,after COG1501,0.0019475403
59,befor COG0791,0.0019371392
60,befor COG0659,0.0019125564
61,befor COG1960,0.0017655836
62,after COG2376,0.0016923435
63,befor COG2801,0.0015571829
64,befor COG0346,0.0013493685
65,after COG3468,0.0012986825
66,befor COG5901,0.0012762597
67,after COG0288,0.001233617
68,befor COG0366,0.0011590758
69,befor COG1629,0.0011203067
70,after COG4948,0.0010748458
71,befor COG0859,0.0010294365
72,after COG2274,0.0009877897
73,befor COG0223,0.0009852664
74,after COG1020,0.00097969
75,befor COG1501,0.00096533814
76,after COG0002,0.00096387975
77,befor COG0626,0.0009274338
78,befor COG0235,0.00090242364
79,befor COG0178,0.0008769959
80,befor COG0175,0.00080620375
81,after COG0624,0.0007706099
82,befor COG3121,0.00076629105
83,befor COG0004,0.00076624675
84,befor COG0031,0.00076580537
85,after COG0003,0.0007463037
86,befor COG4753,0.00058419054
87,after COG0394,0.0005317615
88,befor COG3279,0.0004941447
89,after COG0860,0.00047228436
90,befor COG1246,0.00046408668
91,befor COG0003,0.0004526047
92,befor COG0735,0.0004477202
93,after COG0009,0.00044327433
94,after COG3316,0.0004141042
95,after COG0640,0.0003932499
