ASV,interaction,"Predicted pH (XGBoost, permutation)"
0,-4.73755579993182,0.14353934
1,3.38154527106552,0.6182472
2,1.48037579137943,0.4487534
3,2.74064986136926,0.61824715
4,4.27639342181195,0.60104346
5,-0.0240217600676865,0.4487534
6,-5.46608120303332,0.75845665
7,2.06186990588117,0.6010435
8,10.8382640728742,0.75845665
9,2.98348347914487,0.6010435
10,3.25598169690603,0.6325042
11,0.821942114418944,0.5080486
12,-5.21794612986552,0.35705137
13,2.98160194622192,0.57613486
14,2.1761993674328,0.66787803
15,2.10799628970329,0.57613486
16,6.35580226981005,0.66787803
17,-0.578051673648637,0.51741415
18,-0.361776234047784,0.51741415
19,2.67878688145223,0.57613486
20,-4.89107320889859,0.66787803
21,2.0398879225959,0.57613486
22,7.83072244425171,0.66787803
23,1.50336986996324,0.61824715
24,-5.23760144138468,0.4487534
25,0.502238801107552,0.50005597
26,2.45986504001053,0.57613486
27,1.48282268958521,0.5245706
28,6.19914949017777,0.61824715
29,1.39073730104222,0.57613486
30,3.09185675824381,0.66787803
31,0.656583894848103,0.4487534
32,-20.6956424956593,-0.029891074
33,3.25127575796067,0.6325042
34,2.40662569374245,0.51741415
35,-1.34317766406686,0.4499697
36,-0.658641922839736,0.44996968
37,3.34539182426572,0.6325042
38,-15.6500859281764,0.14353934
39,5.3977738324806,0.6325042
40,-4.25578749393192,0.46866468
41,-1.88154311152518,0.44046143
42,-0.753414163307682,0.46866468
43,3.81970353308125,0.6182472
44,-1.1774836680722,0.45806292
45,3.19078393261217,0.66787803
46,2.78260187237733,0.6010435
