,gene,permimpt
0,befor COG0626,1.6531961117872611
1,befor COG0110,0.21070250264993434
2,befor COG2227,0.13585699048793742
3,befor COG1853,0.1196788629718597
4,after COG1225,0.0750580124271103
5,after COG0626,0.026524590422902606
6,after COG0024,0.02574805269899727
7,after COG0609,0.021808216762469357
8,befor COG0693,0.020117291522774396
9,befor COG0030,0.01827889834160388
10,after COG0235,0.01808698118989227
11,befor COG1737,0.011932568540726152
12,after COG0673,0.011241366361588945
13,befor COG0609,0.01004174832479734
14,after COG0156,0.008778545868995735
15,befor COG2801,0.007738548901553344
16,befor COG0740,0.007338931334317067
17,befor COG0024,0.007024644203247022
18,befor COG0444,0.005716977583308846
