,gene,mdi
0,befor K01752,0.2031089
1,after K00615,0.07773442
2,befor K01489,0.054761123
3,after K00863,0.049584482
4,befor K01066,0.045841213
5,after K00135,0.04513222
6,after K00014,0.045009185
7,after K07666,0.03531245
8,after K02042,0.031606495
9,after K03430,0.0262003
10,after K03602,0.026023973
11,after K02002,0.021685619
12,after K03778,0.019373098
13,befor K00616,0.015276268
14,befor K03217,0.014579567
15,after K01835,0.013809567
16,after K02342,0.013515107
17,befor K03563,0.013070837
18,befor K00925,0.0104501005
19,befor K00239,0.010428802
20,befor K01465,0.010152631
21,befor K00878,0.009634396
22,after K03657,0.009187654
23,befor K00812,0.008906872
24,befor K01840,0.008874355
25,befor K01681,0.008576542
26,befor K01478,0.008562505
27,befor K00262,0.008309454
28,befor K03781,0.0080273
29,after K02016,0.008004862
30,after K02032,0.00782452
31,befor K00525,0.007363907
32,after K00382,0.007289112
33,after K00852,0.0072304243
34,after K01657,0.006441167
35,befor K00666,0.0054523353
36,befor K00128,0.0045603
37,after K00425,0.0038292492
38,befor K02015,0.0037778078
39,befor K03269,0.0036364172
40,after K00823,0.0036150217
41,after K01443,0.0033086897
42,after K00640,0.003281622
43,after K03406,0.0029521151
44,befor K00033,0.0029001513
45,after K01738,0.0026519247
46,after K00128,0.0026029495
47,befor K01584,0.002475043
48,befor K00558,0.002407241
49,after K03269,0.002353694
50,after K03781,0.0022797147
51,befor K01682,0.0021194683
52,befor K02116,0.002055085
53,after K01610,0.0020494699
54,befor K00997,0.0018522246
55,befor K00549,0.0018162508
56,after K03655,0.0018162385
57,after K00652,0.001794218
58,after K00666,0.0017031688
59,after K00963,0.0016964035
60,after K00605,0.0016842241
61,befor K02073,0.0016389653
62,befor K01775,0.0015113769
63,after K01119,0.0014976633
64,after K01755,0.0013522926
65,after K03787,0.0013074888
66,after K02073,0.0012192318
67,after K00374,0.0011943708
68,after K01581,0.000961946
69,after K00130,0.0009464884
70,after K00575,0.00089278887
71,befor K00382,0.00086549425
72,after K01840,0.00079971086
73,befor K00252,0.00077609037
74,befor K01770,0.0007648613
75,after K03707,0.0007571363
76,befor K04073,0.0007564724
77,after K02345,0.0007539231
78,after K03075,0.000718256
79,befor K01586,0.0007101649
80,after K01915,0.00068796286
81,befor K00760,0.0006393316
82,after K00558,0.00062851154
83,after K00611,0.0005752824
84,after K01779,0.0005393581
85,befor K01011,0.00052900816
86,befor K00640,0.00051517703
87,after K02020,0.00049673667
88,after K01935,0.00048871257
89,after K01653,0.00047161838
90,after K02106,0.0004694241
91,befor K03415,0.00037350185
92,after K02774,0.00035225242
93,after K02552,0.0003389057
94,after K02072,0.0003306116
95,after K02372,0.00032464153
96,befor K01738,0.0003123327
97,after K02500,0.00030877464
98,befor K02337,0.00029693698
