,gene,mdi
0,after pfam08501,0.13492806
1,befor pfam01228,0.0730245
2,befor pfam00027,0.06525634
3,befor pfam01580,0.051173497
4,befor pfam02082,0.038265415
5,after pfam00152,0.03459219
6,befor pfam05638,0.03430046
7,after pfam00873,0.03273504
8,after pfam01077,0.029836118
9,befor pfam00391,0.029815894
10,after pfam00069,0.026892029
11,befor pfam01520,0.023175018
12,after pfam00202,0.02193731
13,after pfam02852,0.021535935
14,befor pfam07833,0.021299014
15,befor pfam01266,0.019967766
16,befor pfam13347,0.016357685
17,after pfam02308,0.015293898
18,befor pfam00205,0.014398928
19,after pfam14525,0.013956263
20,after pfam00324,0.013541764
21,befor pfam04851,0.013149286
22,befor pfam02493,0.0129368715
23,after pfam13276,0.012431457
24,befor pfam00324,0.010004799
25,after pfam00289,0.009851333
26,befor pfam00296,0.008299926
27,befor pfam12833,0.008213795
28,befor pfam00854,0.00801177
29,after pfam00805,0.007903294
30,befor pfam02746,0.0077378666
31,after pfam05638,0.007619344
32,after pfam12146,0.0072683548
33,befor pfam12867,0.007259086
34,after pfam01075,0.007114587
35,after pfam00239,0.006600572
36,after pfam13420,0.0062953387
37,befor pfam07859,0.0055878456
38,befor pfam13183,0.00507814
39,befor pfam01075,0.00501242
40,after pfam00425,0.0049390234
41,after pfam00004,0.004872298
42,after pfam00015,0.0046781464
43,befor pfam12800,0.003906211
44,befor pfam00004,0.0038481466
45,befor pfam03703,0.0033862938
46,befor pfam00005,0.003360296
47,befor pfam02899,0.0030831038
48,after pfam03358,0.0030654997
49,befor pfam01476,0.0029479123
50,after pfam00206,0.0026375465
51,after pfam00006,0.0026040277
52,after pfam01580,0.0025747216
53,befor pfam03865,0.0025213764
54,befor pfam07702,0.002440627
55,befor pfam10685,0.0023258394
56,befor pfam00356,0.0023125738
57,after pfam00144,0.0021176233
58,after pfam00072,0.0019183906
59,befor pfam00015,0.0018536604
60,after pfam02378,0.0018137394
61,after pfam00384,0.0017013877
62,befor pfam00254,0.0016737111
63,befor pfam00950,0.0016628674
64,befor pfam00082,0.0016596904
65,befor pfam00496,0.0016330063
66,befor pfam00378,0.0015507183
67,befor pfam00665,0.0014509143
68,after pfam00083,0.0014459811
69,befor pfam00083,0.001351836
70,after pfam02493,0.0013123992
71,befor pfam01381,0.0012829101
72,befor pfam00085,0.0012302301
73,after pfam07883,0.001186809
74,befor pfam00529,0.001160619
75,after pfam14903,0.0011240172
76,after pfam00860,0.0010800508
77,after pfam13302,0.001075639
78,befor pfam05232,0.0010448438
79,after pfam00005,0.0010087086
80,befor pfam00668,0.0009933648
81,after pfam01842,0.0009444848
82,befor pfam00672,0.0009276481
83,befor pfam01497,0.0008991943
84,after pfam10685,0.0008548742
85,after pfam01343,0.0008260911
86,befor pfam00903,0.00074869394
87,after pfam00155,0.00070715527
88,after pfam01546,0.0006752415
89,befor pfam00590,0.0006665473
90,after pfam00595,0.00063618086
91,after pfam01263,0.00062765693
92,after pfam00196,0.00060219655
93,befor pfam00072,0.0005507087
94,after pfam02746,0.0005149096
95,befor pfam01544,0.0005137389
96,befor pfam00370,0.0004968158
97,befor pfam00953,0.00047585872
98,befor pfam04397,0.0004626875
99,after pfam01578,0.0004368013
100,befor pfam00128,0.00040227413
101,after pfam00994,0.00032486912
102,befor pfam01297,0.00032161557
