,gene,permimpt
0,after pfam00239,0.5019845899499309
1,after pfam00072,0.48638245494688304
2,after pfam00857,0.12938503521985112
3,befor pfam13183,0.11119474740783772
4,after pfam01263,0.05884448245356708
5,after pfam12399,0.045807829861394825
6,befor pfam00441,0.03770817077558704
7,befor pfam00012,0.027919103962236135
8,befor pfam02082,0.02358270672031182
9,befor pfam13347,0.02173050506218601
10,befor pfam00005,0.01730051227982088
11,after pfam02746,0.01517804527129627
12,after pfam03865,0.01379904276989663
13,befor pfam00109,0.012725374671712331
14,befor pfam00854,0.005175804801535122
