,gene,mdi
0,after TIGR00507,0.2902345
1,after TIGR01003,0.068162546
2,befor TIGR00254,0.067949615
3,befor TIGR00350,0.062424142
4,befor TIGR01297,0.047150545
5,after TIGR00883,0.04537071
6,after TIGR01845,0.034472194
7,after TIGR00857,0.022333214
8,after TIGR00401,0.020962263
9,befor TIGR00792,0.019017605
10,after TIGR00008,0.018729981
11,after TIGR00509,0.015062214
12,after TIGR01186,0.014340811
13,after TIGR00004,0.013823402
14,befor TIGR00401,0.01368291
15,befor TIGR00738,0.013466631
16,befor TIGR03344,0.013153327
17,befor TIGR00924,0.0112719545
18,befor TIGR01484,0.010767638
19,after TIGR03344,0.010637091
20,befor TIGR00630,0.010402732
21,after TIGR00657,0.009694695
22,after TIGR00110,0.0078924745
23,after TIGR01534,0.0077670957
24,after TIGR00359,0.007163845
25,after TIGR00066,0.00665394
26,befor TIGR01494,0.0063724504
27,after TIGR00369,0.006366209
28,befor TIGR01845,0.0056560743
29,befor TIGR01409,0.0048967395
30,after TIGR00745,0.004726801
31,befor TIGR00005,0.004694702
32,after TIGR00710,0.0043825875
33,after TIGR00924,0.0041886293
34,after TIGR00880,0.004179851
35,befor TIGR00177,0.0041114762
36,befor TIGR00589,0.0040972815
37,after TIGR01549,0.0040813275
38,befor TIGR00229,0.003799791
39,after TIGR00231,0.003518127
40,befor TIGR01186,0.0035102863
41,after TIGR00804,0.0033478483
42,after TIGR01494,0.0032565661
43,befor TIGR01414,0.0029907695
44,befor TIGR01732,0.0028377518
45,after TIGR03506,0.002809797
46,befor TIGR00167,0.0026811187
47,befor TIGR01726,0.0024004276
48,after TIGR00410,0.0022445084
49,befor TIGR02937,0.002018836
50,befor TIGR01730,0.0019629847
51,after TIGR01409,0.0018876767
52,after TIGR00177,0.0018466152
53,after TIGR00099,0.0015414093
54,after TIGR01726,0.0015324922
55,after TIGR00005,0.0014955442
56,befor TIGR00804,0.0014292216
57,befor TIGR02532,0.0013576935
