,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
Species1,1896,247,109,51,18,18,9,45,318,69,15
Species44,1883,1905,1155,793,746,848,127,483,1155,431,169
Species11,1882,164,532,341,28,14,11,180,0,0,0
Species31,1784,188,84,2,0,12,0,18,134,32,2
Species4,1751,3804,701,930,383,673,221,399,1711,2985,607
Species6,1730,132,0,0,0,0,0,54,0,0,0
Species5,1715,1256,567,268,95,69,27,159,532,186,72
Species10,1694,961,596,167,134,82,58,181,644,233,102
Species14,1690,874,304,0,0,0,0,0,0,0,0
Species23,1651,121,14,9,17,12,2,48,0,0,0
Species19,1640,508,215,147,33,28,0,113,23,0,20
Species46,1634,1727,1175,931,156,90,10,571,332,108,12
Species16,1523,397,116,0,0,0,14,0,0,0,0
Species20,1511,22,0,7,5,0,0,16,0,0,0
Species22,1481,138,88,0,0,0,0,0,0,0,0
Species39,1455,220,149,0,0,0,0,0,0,0,0
Species3,1410,17,51,26,0,0,0,22,0,0,0
Species37,1390,371,179,0,0,0,0,0,0,0,0
Species18,1306,0,0,0,0,0,0,0,0,0,0
Species38,1246,377,320,226,0,0,0,147,0,0,0
Species15,1229,9,17,21,0,0,0,0,0,0,0
Species2,1222,1481,37,0,19,0,0,0,0,0,0
Species45,1218,3946,17544,15947,11309,17045,13568,11448,4056,8526,20549
Species8,1201,0,0,0,0,0,0,0,0,0,0
Species7,1189,123,20,0,0,0,0,0,0,0,0
Species17,1159,311,14,0,0,0,0,0,0,0,0
Species42,1118,0,0,0,0,0,0,0,0,0,0
Species33,1107,35,41,18,0,35,19,0,7,33,30
Species48,977,609,6464,5877,2334,3243,1126,83,179,1481,1171
Species34,907,14,14,10,22,18,11,4,3,6,22
Species24,906,0,0,0,0,0,0,0,0,0,0
Species32,896,0,0,0,0,0,0,0,0,0,0
Species30,866,0,0,0,0,0,0,0,0,0,0
Species43,828,0,0,0,0,0,0,0,0,0,0
Species47,817,0,0,0,0,0,0,0,0,0,0
Species35,741,0,0,0,0,0,0,0,0,0,0
Species28,712,0,0,0,0,0,0,0,0,0,0
Species9,687,0,0,0,0,0,0,0,0,0,0
Species40,567,0,0,0,0,0,0,0,0,0,0
Species41,508,0,0,0,0,0,0,0,0,0,0
Species25,420,0,0,0,0,0,0,0,0,0,0
Species36,364,0,0,0,0,0,0,0,0,0,0
Species29,310,0,0,0,0,0,0,0,0,0,0
Species27,268,0,0,0,0,0,0,0,0,0,0
Species26,262,0,0,0,0,0,0,0,0,0,0
Species13,226,0,0,0,0,0,0,0,0,0,0
Species12,195,0,0,0,0,0,0,0,0,0,0
Species21,158,0,0,0,0,0,0,0,0,0,0
