	s1	l1
Species1	1	2
Species2	1	2
Species3	1	2
Species4	1	2
Species5	1	2
Species6	1	2
Species7	1	2
Species8	1	2
Species9	1	2
Species10	1	2
Species11	1	2
Species12	1	2
Species13	1	2
Species14	1	2
Species15	1	2
Species16	1	2
Species17	1	2
Species18	1	2
Species19	1	2
Species20	1	2
Species21	1	2
Species22	1	2
Species23	1	2
Species24	1	2
Species25	1	2
Species26	1	2
Species27	1	2
Species28	1	2
Species29	1	2
Species30	1	2
Species31	1	2
Species32	1	2
Species33	1	2
Species34	1	2
Species35	1	2
Species36	1	2
Species37	1	2
Species38	1	2
Species39	1	2
Species40	1	2
Species41	1	2
Species42	1	2
Species43	1	2
Species44	1	2
Species45	1	2
Species46	1	2
Species47	1	2
Species48	1	2
