         Species1    Species2 Species3
Species1  1.00000 -0.02402018 -5.46609
Species2  2.06187  1.00000000 10.83826
Species3  2.98350  3.25593703  1.00000
         Species4  Species5    Species6
Species4 1.000000 -1.343178  -0.6586422
Species5 3.345386  1.000000 -15.6500740
Species6 5.397596 -4.254361   1.0000000
         Species7  Species8   Species9
Species7 1.000000 -1.881543 -0.7534138
Species8 3.819703  1.000000 -1.1774829
Species9 3.190785  2.782601  1.0000000
          Species10 Species11 Species12
Species10  1.000000 -1.209811 -4.737554
Species11  3.381545  1.000000  1.480376
Species12  2.740656  4.276388  1.000000
          Species13 Species14 Species15
Species13  1.000000 0.8219402 -5.217945
Species14  2.981602 1.0000000  2.176199
Species15  2.107996 6.3558017  1.000000
          Species16  Species17  Species18
Species16  1.000000 -0.5780532 -0.3617708
Species17  2.678787  1.0000000 -4.8910748
Species18  2.039893  7.8306988  1.0000000
          Species19 Species20 Species21
Species19 1.0000000  1.503372 -5.237525
Species20 0.5022386  1.000000  2.459868
Species21 1.4828187  6.199154  1.000000
          Species22 Species23  Species24
Species22  1.000000  1.390737   3.091857
Species23  0.656584  1.000000 -20.695588
Species24  3.251276  2.406624   1.000000
