	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	PFAM_Name	PFAM_desc
pfam00004	1.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	0.0	0.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	4.0	2.0	1.0	0.0	3.0	0.0	1.0	1.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	2.0	1.0	2.0	3.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	AAA	ATPase family associated with various cellular activities (AAA)
pfam00005	9.0	12.0	47.0	16.0	15.0	21.0	23.0	13.0	20.0	15.0	13.0	0.0	0.0	20.0	76.0	22.0	11.0	11.0	12.0	50.0	0.0	20.0	23.0	29.0	8.0	0.0	22.0	0.0	20.0	11.0	6.0	20.0	16.0	16.0	15.0	11.0	12.0	21.0	18.0	21.0	57.0	15.0	13.0	15.0	14.0	21.0	13.0	15.0	ABC_tran	ABC transporter
pfam00006	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	ATP-synt_ab	ATP synthase alpha/beta family, nucleotide-binding domain
pfam00009	1.0	1.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	0.0	0.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	0.0	1.0	4.0	2.0	1.0	0.0	2.0	0.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	GTP_EFTU	Elongation factor Tu GTP binding domain
pfam00011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	HSP20	Hsp20/alpha crystallin family
pfam00012	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	HSP70	Hsp70 protein
pfam00013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	KH_1	KH domain
pfam00015	0.0	1.0	18.0	2.0	2.0	7.0	3.0	3.0	1.0	2.0	3.0	0.0	0.0	1.0	8.0	5.0	0.0	0.0	3.0	0.0	0.0	5.0	0.0	2.0	4.0	0.0	6.0	0.0	5.0	0.0	0.0	5.0	4.0	0.0	0.0	0.0	1.0	7.0	4.0	7.0	0.0	0.0	3.0	2.0	0.0	7.0	2.0	0.0	MCPsignal	Methyl-accepting chemotaxis protein (MCP) signalling domain
pfam00023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	Ank	Ankyrin repeat
pfam00027	4.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	cNMP_binding	Cyclic nucleotide-binding domain
pfam00033	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cytochrome_B	Cytochrome b/b6/petB
pfam00034	1.0	0.0	5.0	0.0	0.0	2.0	1.0	2.0	1.0	0.0	2.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	3.0	1.0	0.0	0.0	2.0	1.0	2.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	Cytochrom_C	Cytochrome c
pfam00035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	dsrm	Double-stranded RNA binding motif
pfam00037	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	Fer4	4Fe-4S binding domain
pfam00041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	fn3	Fibronectin type III domain
pfam00043	0.0	0.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	GST_C	Glutathione S-transferase, C-terminal domain
pfam00044	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Gp_dh_N	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
pfam00056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Ldh_1_N	lactate/malate dehydrogenase, NAD binding domain
pfam00059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Lectin_C	Lectin C-type domain
pfam00067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	p450	Cytochrome P450
pfam00069	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Pkinase	Protein kinase domain
pfam00072	14.0	5.0	29.0	6.0	6.0	18.0	5.0	25.0	7.0	6.0	25.0	0.0	0.0	7.0	26.0	7.0	3.0	3.0	5.0	9.0	0.0	6.0	13.0	11.0	16.0	0.0	19.0	0.0	6.0	3.0	3.0	6.0	14.0	26.0	13.0	4.0	5.0	18.0	5.0	18.0	14.0	2.0	25.0	6.0	2.0	18.0	6.0	2.0	Response_reg	Response regulator receiver domain
pfam00075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	RNase_H	RNase H
pfam00078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	RVT_1	Reverse transcriptase (RNA-dependent DNA polymerase)
pfam00080	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	Sod_Cu	Copper/zinc superoxide dismutase (SODC)
pfam00081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	Sod_Fe_N	Iron/manganese superoxide dismutases, alpha-hairpin domain
pfam00082	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Peptidase_S8	Subtilase family
pfam00083	0.0	0.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	1.0	2.0	2.0	2.0	4.0	1.0	2.0	2.0	0.0	2.0	0.0	1.0	Sugar_tr	Sugar (and other) transporter
pfam00085	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	2.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	Thioredoxin	Thioredoxin
