	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48
pfam00004	1	1	2	1	1	2	1	2	1	1	2	0	0	1	3	1	1	1	1	1	0	1	4	2	1	0	3	0	1	1	1	1	2	3	2	1	1	2	1	2	3	1	2	1	1	2	1	1
pfam00005	9	12	47	16	15	21	23	13	20	15	13	0	0	20	76	22	11	11	12	50	0	20	23	29	8	0	22	0	20	11	6	20	16	16	15	11	12	21	18	21	57	15	13	15	14	21	13	15
pfam00006	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	2	1	1	0	1	0	1	1	0	1	2	1	1	1	1	1	1	1	2	0	1	1	0	1	0	0
pfam00009	1	1	3	1	1	1	1	2	2	1	2	0	0	2	2	2	1	1	1	2	0	1	4	2	1	0	2	0	1	1	1	1	2	3	3	1	1	1	1	1	3	2	2	1	1	1	1	2
pfam00011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
pfam00012	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	0
pfam00013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
pfam00015	0	1	18	2	2	7	3	3	1	2	3	0	0	1	8	5	0	0	3	0	0	5	0	2	4	0	6	0	5	0	0	5	4	0	0	0	1	7	4	7	0	0	3	2	0	7	2	0
pfam00023	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
pfam00027	4	1	1	0	1	1	0	1	0	1	1	0	0	0	2	0	0	0	0	1	0	0	6	1	0	0	2	0	0	0	0	0	2	4	3	0	0	1	0	1	0	0	1	1	0	1	1	0
