"","x"
"1",-0.0240201758896088
"2",-5.46608953649264
"3",2.06187023235608
"4",10.8382641459379
"5",2.98350019139816
"6",3.25593677319685
"7",-1.34317778871116
"8",-0.658642154479553
"9",3.34538559946152
"10",-15.650073950669
"11",5.39760799180201
"12",-4.25445914375174
"13",-1.88154344280668
"14",-0.753413745896637
"15",3.8197034517275
"16",-1.17748286035969
"17",3.19078520347854
"18",2.78260061403159
"19",-1.20981067899181
"20",-4.73755392937005
"21",3.3815453915692
"22",1.48037583306483
"23",2.74065564508312
"24",4.27638795706492
"25",0.821940205653908
"26",-5.21794474467653
"27",2.98160228282147
"28",2.17619931822588
"29",2.10799623986764
"30",6.35580176558388
"31",-0.578053262852952
"32",-0.361770693900407
"33",2.67878703626501
"34",-4.89107481541476
"35",2.03989302493228
"36",7.83069882313876
"37",1.50337173272694
"38",-5.23752530291201
"39",0.502238632603277
"40",2.45986785120677
"41",1.48281883942448
"42",6.1991543253503
"43",1.39073745256042
"44",3.09185673104869
"45",0.656583973412016
"46",-20.6955878354236
"47",3.25127630509022
"48",2.40662415494373
