"CBM50","GH23","GH3","GT2","GT4","GT51","CBM48","GH1","GH13_11","GH13_9","GH16_3","GH2","CBM32","CBM5","GH0","GH13_10","GH13_16","GH13_26","GH15","GH20","GH24","GH29","GH43_34","GH92","GH95","interaction"
1,0,1,2,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,2,1,1,1,-0.0240201758896088
0,-1,1,0,0,0,-1,0,-1,-1,1,1,1,0,0,-1,0,-1,0,1,0,2,1,1,1,-5.46608953649264
-1,0,-1,-2,-2,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,0,-2,-1,-1,-1,2.06187023235608
-1,-1,0,-2,-2,-1,-1,0,-1,-1,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,10.8382641459379
0,1,-1,0,0,0,1,0,1,1,-1,-1,-1,0,0,1,0,1,0,-1,0,-2,-1,-1,-1,2.98350019139816
1,1,0,2,2,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3.25593677319685
0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.34317778871116
-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.658642154479553
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34538559946152
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.650073950669
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.39760799180201
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.25445914375174
0,0,-1,-1,0,-1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,-1.88154344280668
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.753413745896637
0,0,1,1,0,1,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,3.8197034517275
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.17748286035969
0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,3.19078520347854
0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2.78260061403159
-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1.20981067899181
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.73755392937005
