"1- and 2-Methylnaphthalene degradation","Aminophosphonate metabolism","Amyotrophic lateral sclerosis (ALS)","Androgen and estrogen metabolism","Antigen processing and presentation","Apoptosis","Biosynthesis of ansamycins","Biosynthesis of vancomycin group antibiotics","Biotin metabolism","Bisphenol A degradation","Caprolactam degradation","Cyanoamino acid metabolism","Cytokine-cytokine receptor interaction","D-Alanine metabolism","D-Arginine and D-ornithine metabolism","Epithelial cell signaling in Helicobacter pylori infection","Fluorobenzoate degradation","Folate biosynthesis","Inositol metabolism","Insulin signaling pathway","Linoleic acid metabolism","Lipoic acid metabolism","N-Glycan biosynthesis","Neuroactive ligand-receptor interaction","Nucleotide excision repair","Penicillin and cephalosporin biosynthesis","Polyketide sugar unit biosynthesis","Prostate cancer","Protein export","Regulation of actin cytoskeleton","Riboflavin metabolism","Streptomycin biosynthesis","Synthesis and degradation of ketone bodies","Terpenoid biosynthesis","Tetrachloroethene degradation","Tetracycline biosynthesis","Type IV secretion system","Ubiquitin mediated proteolysis","Zeatin biosynthesis","beta-Lactam resistance","interaction"
0,-0.1,-0.1,0.19,0.233846154,0,0.295824752,-0.125459318,0.09,0,0,0,-0.1,-0.1,-0.17007874,0,0,0,0,-0.1,0.19,0,-0.1,0,0,0,-0.11496063,0,0,0,0,0,0,0,0,0.089737533,-0.1,0,0.265384615,-0.1,-0.0240201758896088
0,0,0,0.19,-0.096153846,0,-0.774500819,-0.505531915,-0.14,0,0,0,0,0,-0.33,0,0,0,0,0,0.19,0,0,0,0,0,-0.37212766,0,0,0,0,0,-0.33,0,0,-0.14,0,0,0.035384615,0,-5.46608953649264
0,0.1,0.1,-0.19,-0.233846154,0,-0.295824752,0.125459318,-0.09,0,0,0,0.1,0.1,0.17007874,0,0,0,0,0.1,-0.19,0,0.1,0,0,0,0.11496063,0,0,0,0,0,0,0,0,-0.089737533,0.1,0,-0.265384615,0.1,2.06187023235608
0,0.1,0.1,0,-0.33,0,-1.070325571,-0.380072597,-0.23,0,0,0,0.1,0.1,-0.15992126,0,0,0,0,0.1,0,0,0.1,0,0,0,-0.25716703,0,0,0,0,0,-0.33,0,0,-0.229737533,0.1,0,-0.23,0.1,10.8382641459379
0,0,0,-0.19,0.096153846,0,0.774500819,0.505531915,0.14,0,0,0,0,0,0.33,0,0,0,0,0,-0.19,0,0,0,0,0,0.37212766,0,0,0,0,0,0.33,0,0,0.14,0,0,-0.035384615,0,2.98350019139816
0,-0.1,-0.1,0,0.33,0,1.070325571,0.380072597,0.23,0,0,0,-0.1,-0.1,0.15992126,0,0,0,0,-0.1,0,0,-0.1,0,0,0,0.25716703,0,0,0,0,0,0.33,0,0,0.229737533,-0.1,0,0.23,-0.1,3.25593677319685
0,0,0,0,0.000670103000000005,0,0.109238561,-0.024417616,0,0.13,0,0,0,0,0,-0.015964912,0,0,0,0,0,0,0,0.13,0,0,0.13,0,0,0,-0.13,0,0,0.000670103000000005,0,0,0,0,0.00134020599999998,0,-1.34317778871116
0,-0.18,0,0,-0.080329897,-0.18,0.235977909,-0.100758468,-0.05,0.13,0,0,0,0,0,-0.05,0,0.13,0,0,0,0.13,0,0.13,-0.18,-0.18,-0.065142857,0,0.13,-0.18,0,0,-0.18,0.130670103,0,-0.05,0,-0.18,-0.048659794,0,-0.658642154479553
0,0,0,0,-0.000670103000000005,0,-0.109238561,0.024417616,0,-0.13,0,0,0,0,0,0.015964912,0,0,0,0,0,0,0,-0.13,0,0,-0.13,0,0,0,0.13,0,0,-0.000670103000000005,0,0,0,0,-0.00134020599999998,0,3.34538559946152
0,-0.18,0,0,-0.081,-0.18,0.126739348,-0.076340852,-0.05,0,0,0,0,0,0,-0.034035088,0,0.13,0,0,0,0.13,0,0,-0.18,-0.18,-0.195142857,0,0.13,-0.18,0.13,0,-0.18,0.13,0,-0.05,0,-0.18,-0.05,0,-15.650073950669
0,0.18,0,0,0.080329897,0.18,-0.235977909,0.100758468,0.05,-0.13,0,0,0,0,0,0.05,0,-0.13,0,0,0,-0.13,0,-0.13,0.18,0.18,0.065142857,0,-0.13,0.18,0,0,0.18,-0.130670103,0,0.05,0,0.18,0.048659794,0,5.39760799180201
0,0.18,0,0,0.081,0.18,-0.126739348,0.076340852,0.05,0,0,0,0,0,0,0.034035088,0,-0.13,0,0,0,-0.13,0,0,0.18,0.18,0.195142857,0,-0.13,0.18,-0.13,0,0.18,-0.13,0,0.05,0,0.18,0.05,0,-4.25445914375174
