"befor 1- and 2-Methylnaphthalene degradation","befor Aminophosphonate metabolism","befor Amyotrophic lateral sclerosis (ALS)","befor Androgen and estrogen metabolism","befor Antigen processing and presentation","befor Apoptosis","befor Biosynthesis of ansamycins","befor Biosynthesis of vancomycin group antibiotics","befor Biotin metabolism","befor Bisphenol A degradation","befor Caprolactam degradation","befor Cyanoamino acid metabolism","befor Cytokine-cytokine receptor interaction","befor D-Alanine metabolism","befor D-Arginine and D-ornithine metabolism","befor Epithelial cell signaling in Helicobacter pylori infection","befor Fluorobenzoate degradation","befor Folate biosynthesis","befor Inositol metabolism","befor Insulin signaling pathway","befor Linoleic acid metabolism","befor Lipoic acid metabolism","befor N-Glycan biosynthesis","befor Neuroactive ligand-receptor interaction","befor Nucleotide excision repair","befor Penicillin and cephalosporin biosynthesis","befor Polyketide sugar unit biosynthesis","befor Prostate cancer","befor Protein export","befor Regulation of actin cytoskeleton","befor Riboflavin metabolism","befor Streptomycin biosynthesis","befor Synthesis and degradation of ketone bodies","befor Terpenoid biosynthesis","befor Tetrachloroethene degradation","befor Tetracycline biosynthesis","befor Type IV secretion system","befor Ubiquitin mediated proteolysis","befor Zeatin biosynthesis","befor beta-Lactam resistance","after 1- and 2-Methylnaphthalene degradation","after Aminophosphonate metabolism","after Amyotrophic lateral sclerosis (ALS)","after Androgen and estrogen metabolism","after Antigen processing and presentation","after Apoptosis","after Biosynthesis of ansamycins","after Biosynthesis of vancomycin group antibiotics","after Biotin metabolism","after Bisphenol A degradation","after Caprolactam degradation","after Cyanoamino acid metabolism","after Cytokine-cytokine receptor interaction","after D-Alanine metabolism","after D-Arginine and D-ornithine metabolism","after Epithelial cell signaling in Helicobacter pylori infection","after Fluorobenzoate degradation","after Folate biosynthesis","after Inositol metabolism","after Insulin signaling pathway","after Linoleic acid metabolism","after Lipoic acid metabolism","after N-Glycan biosynthesis","after Neuroactive ligand-receptor interaction","after Nucleotide excision repair","after Penicillin and cephalosporin biosynthesis","after Polyketide sugar unit biosynthesis","after Prostate cancer","after Protein export","after Regulation of actin cytoskeleton","after Riboflavin metabolism","after Streptomycin biosynthesis","after Synthesis and degradation of ketone bodies","after Terpenoid biosynthesis","after Tetrachloroethene degradation","after Tetracycline biosynthesis","after Type IV secretion system","after Ubiquitin mediated proteolysis","after Zeatin biosynthesis","after beta-Lactam resistance","interaction"
0,0,0,0.19,0.233846154,0,0.482307692,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0.365384615,0,0,0.1,0.1,0,0,0,0.18648294,0.125459318,0.1,0,0,0,0.1,0.1,0.17007874,0,0,0,0,0.1,0,0,0.1,0,0,0,0.11496063,0,0,0,0,0,0,0,0,0.100262467,0.1,0,0.1,0.1,-0.0240201758896088
0,0,0,0.19,0.233846154,0,0.482307692,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0.365384615,0,0,0,0,0,0.33,0,1.256808511,0.505531915,0.33,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.37212766,0,0,0,0,0,0.33,0,0,0.33,0,0,0.33,0,-5.46608953649264
0,0.1,0.1,0,0,0,0.18648294,0.125459318,0.1,0,0,0,0.1,0.1,0.17007874,0,0,0,0,0.1,0,0,0.1,0,0,0,0.11496063,0,0,0,0,0,0,0,0,0.100262467,0.1,0,0.1,0.1,0,0,0,0.19,0.233846154,0,0.482307692,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0.365384615,0,2.06187023235608
0,0.1,0.1,0,0,0,0.18648294,0.125459318,0.1,0,0,0,0.1,0.1,0.17007874,0,0,0,0,0.1,0,0,0.1,0,0,0,0.11496063,0,0,0,0,0,0,0,0,0.100262467,0.1,0,0.1,0.1,0,0,0,0,0.33,0,1.256808511,0.505531915,0.33,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.37212766,0,0,0,0,0,0.33,0,0,0.33,0,0,0.33,0,10.8382641459379
0,0,0,0,0.33,0,1.256808511,0.505531915,0.33,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.37212766,0,0,0,0,0,0.33,0,0,0.33,0,0,0.33,0,0,0,0,0.19,0.233846154,0,0.482307692,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0.365384615,0,2.98350019139816
0,0,0,0,0.33,0,1.256808511,0.505531915,0.33,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.37212766,0,0,0,0,0,0.33,0,0,0.33,0,0,0.33,0,0,0.1,0.1,0,0,0,0.18648294,0.125459318,0.1,0,0,0,0.1,0.1,0.17007874,0,0,0,0,0.1,0,0,0.1,0,0,0,0.11496063,0,0,0,0,0,0,0,0,0.100262467,0.1,0,0.1,0.1,3.25593677319685
0,0,0,0,0.130670103,0,0.617835052,0.130670103,0.13,0.13,0,0,0,0,0,0.13,0,0.13,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0,0,0.130670103,0,0.13,0,0,0.131340206,0,0,0,0,0,0.13,0,0.508596491,0.155087719,0.13,0,0,0,0,0,0,0.145964912,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,-1.34317778871116
0,0,0,0,0.130670103,0,0.617835052,0.130670103,0.13,0.13,0,0,0,0,0,0.13,0,0.13,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0,0,0.130670103,0,0.13,0,0,0.131340206,0,0,0.18,0,0,0.211,0.18,0.381857143,0.231428571,0.18,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.18,0.18,0.195142857,0,0,0.18,0,0,0.18,0,0,0.18,0,0.18,0.18,0,-0.658642154479553
0,0,0,0,0.13,0,0.508596491,0.155087719,0.13,0,0,0,0,0,0,0.145964912,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,0,0,0,0,0.130670103,0,0.617835052,0.130670103,0.13,0.13,0,0,0,0,0,0.13,0,0.13,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0,0,0.130670103,0,0.13,0,0,0.131340206,0,3.34538559946152
0,0,0,0,0.13,0,0.508596491,0.155087719,0.13,0,0,0,0,0,0,0.145964912,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,0,0.18,0,0,0.211,0.18,0.381857143,0.231428571,0.18,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.18,0.18,0.195142857,0,0,0.18,0,0,0.18,0,0,0.18,0,0.18,0.18,0,-15.650073950669
0,0.18,0,0,0.211,0.18,0.381857143,0.231428571,0.18,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.18,0.18,0.195142857,0,0,0.18,0,0,0.18,0,0,0.18,0,0.18,0.18,0,0,0,0,0,0.130670103,0,0.617835052,0.130670103,0.13,0.13,0,0,0,0,0,0.13,0,0.13,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0,0,0.130670103,0,0.13,0,0,0.131340206,0,5.39760799180201
0,0.18,0,0,0.211,0.18,0.381857143,0.231428571,0.18,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.18,0.18,0.195142857,0,0,0.18,0,0,0.18,0,0,0.18,0,0.18,0.18,0,0,0,0,0,0.13,0,0.508596491,0.155087719,0.13,0,0,0,0,0,0,0.145964912,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,-4.25445914375174
0,0,0,0,0.14,0,0.56,0.14,0.14,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0.14,0,0,0,0,0.14,0,0.14,0,0.14,0,0,0.14,0,0.14,0,0,0.14,0,0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,-1.88154344280668
0,0,0,0,0.14,0,0.56,0.14,0.14,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0.14,0,0,0,0,0.14,0,0.14,0,0.14,0,0,0.14,0,0.14,0,0,0.14,0,0,0.15,0,0,0.15,0,0.549324324,0.222972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,-0.753413745896637
0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,0,0,0,0,0.14,0,0.56,0.14,0.14,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0.14,0,0,0,0,0.14,0,0.14,0,0.14,0,0,0.14,0,0.14,0,0,0.14,0,3.8197034517275
0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,0,0.15,0,0,0.15,0,0.549324324,0.222972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,-1.17748286035969
0,0.15,0,0,0.15,0,0.549324324,0.222972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,0,0,0,0,0.14,0,0.56,0.14,0.14,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0.14,0,0,0,0,0.14,0,0.14,0,0.14,0,0,0.14,0,0.14,0,0,0.14,0,3.19078520347854
0,0.15,0,0,0.15,0,0.549324324,0.222972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,2.78260061403159
0,0,0,0,0.13,0,0.508596491,0.155087719,0.13,0,0,0,0,0,0,0.145964912,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,-1.20981067899181
0,0,0,0,0.13,0,0.508596491,0.155087719,0.13,0,0,0,0,0,0,0.145964912,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.73755392937005
0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,0,0,0,0,0.13,0,0.508596491,0.155087719,0.13,0,0,0,0,0,0,0.145964912,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,3.3815453915692
0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48037583306483
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.508596491,0.155087719,0.13,0,0,0,0,0,0,0.145964912,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0.13,0,2.74065564508312
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5394,0,0.29,0.3074,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3422,0,0,0.29,0.29,0,0,0,0,0,0.29,0,0,0.29,0.3132,0,0.29,0,4.27638795706492
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.15,0,0.549324324,0.222972973,0.15,0.15,0,0,0,0,0,0,0,0.15,0,0,0,0.15,0,0,0,0,0.15,0,0.15,0,0,0.15,0,0,0,0.15,0,0,0.15,0,0.821940205653908
