ASV,pH.preference,"Predicted pH (XGBoost, permutation)"
0,3.724741011,4.8528304
1,3.839539646,4.1706667
2,3.902704591,4.1085224
3,3.914741011,4.369669
4,3.984741011,4.2588525
5,3.98896466,4.2131352
6,3.994382925,4.3181305
7,4.02152661,4.048968
8,4.057128105,4.8447814
9,4.057128105,4.3750725
10,4.119884881,4.379984
11,4.162673025,4.297944
12,4.162673025,6.139132
13,4.16896466,4.324531
14,4.206215809,4.7167706
15,4.264382925,5.2133727
16,4.264382925,4.132506
17,4.322909537,5.470546
18,4.34896466,4.5625153
19,4.34896466,4.5625153
20,4.394971218,4.7336245
21,4.41896466,4.8490515
22,4.43152661,5.105785
23,4.43152661,5.869349
24,4.469884881,5.317134
25,4.482679136,4.53139
26,4.482679136,5.630482
27,4.500153841,4.5714207
28,4.544382925,5.1332035
29,4.573591191,6.357176
30,4.61816053,4.7167706
31,4.630153841,4.833713
32,4.662672792,5.337088
33,4.704382925,4.844165
34,4.708875029,5.11139
35,4.83896466,5.0940523
36,4.850153841,4.757778
37,4.88152661,5.802987
38,4.887128105,4.844165
39,4.904280839,5.476156
40,5.022420669,5.1848893
41,5.024741011,5.622674
42,5.047128105,5.3453717
43,5.074280839,5.540933
44,5.094691405,5.1332035
45,5.094691405,5.3279247
46,5.105868465,5.6824503
47,5.119884881,5.028801
48,5.149539646,4.7167706
49,5.154801797,5.93026
50,5.185668249,6.035218
51,5.192673025,4.650504
52,5.192673025,6.357176
53,5.233591191,5.449315
54,5.23816053,6.300411
55,5.294971218,5.1553993
56,5.414971218,4.5714207
57,5.439539646,6.3057632
58,5.442672792,6.4128795
59,5.442672792,5.4129343
60,5.44816053,5.317134
61,5.559884881,5.70945
62,5.592428764,4.844165
63,5.629884881,6.119744
64,5.659539646,5.1332035
65,5.709539646,5.622674
66,5.709539646,6.2472196
67,5.724280839,5.5517445
68,5.73896466,6.196548
69,5.73896466,6.698975
70,5.754280839,6.2372074
71,5.784741011,5.1140556
72,5.949539646,5.611634
73,5.964741011,5.802987
74,6.094949281,5.6024747
75,6.094949281,5.9568863
76,6.094949281,6.5331416
77,6.177128105,6.2472196
78,6.204971218,5.999972
79,6.204971218,5.9568863
80,6.222428764,5.8037677
81,6.390153841,6.428418
82,6.508555915,5.622674
83,6.508555915,5.8037677
84,6.508555915,6.497432
85,6.64816053,6.7966895
86,6.64816053,6.49304
87,6.64816053,7.416396
88,6.64816053,7.0008273
89,6.694280839,6.1566067
90,6.694280839,6.8700128
91,6.694280839,6.254598
92,6.724280839,6.62499
93,6.724280839,6.5315475
94,6.724280839,6.099573
95,6.724280839,5.630482
96,7.084741011,6.139132
97,7.104971218,7.431247
98,7.104971218,6.636669
99,7.109539646,6.4430766
100,7.109539646,6.2419205
101,7.317128105,6.4746585
102,7.317128105,6.2312846
103,5.0,5.4237456
104,5.0,5.3279247
105,5.0,4.132506
106,5.2,5.566802
107,5.3,6.742537
108,5.3,5.4237456
109,5.3,5.317134
110,5.3,5.328107
111,5.3,5.909278
112,5.3,5.412003
113,5.4,5.1848893
114,5.4,5.9817867
115,5.4,5.619909
116,5.5,5.098015
117,5.5,5.586431
118,5.6,5.9774156
119,5.6,5.869349
120,5.8,5.943557
121,5.8,6.353587
122,5.9,5.7160087
123,5.9,5.9824696
124,6.0,6.0712423
125,6.0,5.909278
126,6.0,6.313004
127,6.0,6.001034
128,6.1,5.9774156
129,6.1,6.3093176
130,6.1,5.619909
131,6.1,5.7517056
132,6.2,6.0328803
133,6.2,5.778306
134,6.2,6.001034
135,6.3,6.450732
136,6.3,6.2960467
137,6.3,6.423274
138,6.4,6.4754395
139,6.4,6.05227
140,6.4,5.778306
141,6.6,5.909278
142,6.6,6.423274
143,6.6,6.673714
144,6.7,6.570879
145,6.7,6.699343
146,7.1,6.6385894
147,7.3,7.6782484
148,7.6,7.2024775
149,7.6,6.514875
150,7.6,6.5019913
151,7.7,7.188141
152,7.7,7.297987
153,7.7,6.673714
154,7.8,7.419807
155,8.2,6.6406894
156,8.4,7.146151
157,8.6,7.562823
158,8.7,7.6782484
159,9.0,7.6782484
160,9.1,8.037157
161,4.13,5.37791
162,4.24,4.6753316
163,4.35,4.8734903
164,4.45,4.3010874
165,4.47,4.8490515
166,4.52,4.7922096
167,4.52,4.818099
168,4.59,4.5714207
169,4.74,4.844165
170,4.79,4.8098817
171,4.81,5.2403436
172,4.86,4.8734903
173,4.89,5.1848893
174,5.09,5.6824503
175,5.16,5.7930927
176,5.17,5.2335896
177,5.18,5.1846685
178,5.27,5.619909
179,5.28,4.7922096
180,5.28,5.5434456
181,5.33,6.368955
182,5.35,5.7439456
183,5.36,5.7930927
184,5.49,5.5947127
185,5.57,6.2143297
186,5.58,5.296652
187,5.65,5.7930927
188,5.77,6.546536
189,5.78,5.7156663
190,5.79,6.089218
191,5.85,5.622674
192,5.91,6.0816784
193,5.92,6.2550774
194,5.98,6.4282827
195,5.98,6.3005667
196,6.02,6.2312846
197,6.03,6.196548
198,6.17,5.9365625
199,6.22,5.5434456
200,6.23,6.3052483
201,6.24,6.2419205
202,6.26,6.7459626
203,6.27,6.5315475
204,6.27,6.0110016
205,6.29,6.1076503
206,6.34,6.368955
207,6.41,6.2550774
208,6.42,6.3543687
209,6.43,5.9173055
210,6.43,6.4669924
211,6.43,5.50257
212,6.44,6.5266633
213,6.51,6.497432
214,6.59,6.300411
215,6.59,6.4803977
216,6.61,6.46588
217,6.62,6.416965
218,6.63,6.28025
219,6.64,6.7685394
220,6.66,6.4445395
221,6.68,6.4430766
222,6.68,6.3566947
223,6.69,6.515687
224,6.69,6.450732
225,6.74,6.904224
226,6.76,6.139132
227,6.77,6.892068
228,6.78,6.2682085
229,6.84,6.3052483
230,6.86,6.6394553
231,6.86,6.530268
232,6.91,6.2472196
233,6.96,7.2024775
234,6.96,6.139132
235,7.06,6.507281
236,7.22,6.5266633
237,7.4,6.678101
238,7.84,7.786366
239,7.84,7.0008273
240,8.01,6.7936254
241,6.49,6.930467
242,6.51,7.0669055
243,6.6,6.8313456
244,6.73,6.2168045
245,7.72,6.9688516
246,8.0,7.8011527
247,6.2,6.286719
248,6.38,6.533306
249,7.1,7.286084
250,7.72,7.078968
251,7.73,7.075058
252,4.69,5.1439495
253,6.63,5.1439495
254,7.56,6.268987
255,4.89,5.786981
256,5.33,5.2133727
257,6.45,7.2983027
258,6.46,6.27385
259,6.5,7.2983027
260,6.65,7.2983027
261,6.73,6.968686
262,6.75,5.869349
263,6.88,6.9929466
264,6.94,6.611777
265,7.1,7.4600964
266,7.14,7.494499
267,7.42,7.356001
268,7.44,7.4550614
269,7.5,7.36129
270,7.51,7.2171135
271,7.6,7.606847
272,7.63,6.8586974
273,7.66,7.3275785
274,7.86,7.6138678
275,7.9,7.3275785
276,4.57,5.1501107
277,4.57,5.1501107
278,4.57,5.0332823
279,4.57,4.8447814
280,4.69,5.146332
281,4.81,5.4373493
282,5.11,5.735041
283,5.61,5.823116
284,5.61,5.982788
285,5.81,6.9005427
286,5.89,7.0669055
287,6.09,6.3119926
288,6.18,6.533306
289,6.4,6.533306
290,6.4,6.3540764
291,6.4,6.850681
292,6.4,6.53406
293,6.46,6.533306
294,6.46,6.697797
295,6.46,5.9341545
296,6.51,6.9145317
297,6.59,6.533306
298,6.62,6.284232
299,6.62,6.690918
300,6.62,6.228596
301,6.63,6.8313456
302,6.63,6.006562
303,6.65,6.507232
304,6.65,6.2705493
305,6.66,6.119744
306,6.74,6.8317647
307,6.77,6.533306
308,6.78,6.6562696
309,6.79,6.9886913
310,6.81,6.545453
311,6.81,7.269512
312,6.83,7.1155143
313,6.83,6.935712
314,6.83,6.927852
315,6.84,6.289731
316,6.85,7.2743683
317,6.87,6.8700128
318,6.88,6.533306
319,6.88,6.8424706
320,6.9,6.691776
321,6.96,6.9145317
322,6.96,6.853254
323,7.05,6.5912514
324,7.1,6.8494987
325,7.1,7.286084
326,7.17,6.9706435
327,7.18,7.269512
328,7.24,7.0912633
329,7.27,7.437096
330,7.27,6.844668
331,7.34,6.8586974
332,7.38,6.927852
333,7.39,6.8769035
334,7.4,7.293857
335,7.42,6.898492
336,7.43,7.440724
337,7.43,6.9707155
338,7.5,7.2743683
339,7.5,7.2875633
340,7.5,6.9707155
341,7.51,6.3628273
342,7.56,6.533306
343,7.56,7.1155143
344,7.6,7.02225
345,7.63,6.589113
346,7.65,7.150983
347,7.65,6.6960993
348,7.65,7.060329
349,7.66,6.5049706
350,7.66,7.1384907
351,7.67,7.36129
352,7.67,6.6562696
353,7.72,6.2886806
354,7.72,7.075058
355,7.73,6.9706435
356,7.74,7.4245424
357,7.74,6.414961
358,7.75,7.4245424
359,7.75,7.456287
360,7.75,7.149797
361,7.79,7.6308565
362,7.82,7.047702
363,7.82,7.5482984
364,7.84,7.075058
365,7.87,7.251238
366,7.87,6.035218
367,7.9,7.36129
368,7.9,7.759738
369,7.9,7.0464077
370,7.97,7.0669055
371,8.0,7.02225
372,8.0,7.4493732
373,8.03,6.850681
374,8.06,7.759738
375,8.08,7.4245424
376,8.08,7.362507
377,8.27,7.0669055
378,6.65,6.533306
379,7.49,6.8586974
380,7.86,7.0669055
381,4.52,5.1662617
382,4.57,4.847909
383,4.57,5.50257
384,4.81,5.609168
385,4.89,5.4928155
386,4.9,6.772361
387,4.9,6.089553
388,5.07,7.075058
389,5.11,6.533306
390,5.2,5.9992514
391,5.2,5.7930927
392,5.2,6.325427
393,5.21,5.976131
394,5.21,5.9604745
395,5.21,5.5422106
396,5.33,5.854163
397,5.61,5.976131
398,5.97,6.666019
399,5.99,6.456589
400,6.08,6.0122447
401,6.12,6.64048
402,6.14,6.8586974
403,6.22,6.3207583
404,6.32,5.9199777
405,6.39,6.730242
406,6.4,6.2339582
407,6.4,6.1121078
408,6.4,6.3052483
409,6.46,6.7768674
410,6.46,6.64048
411,6.46,6.4999194
412,6.46,6.844668
413,6.49,6.772361
414,6.49,6.8120384
415,6.5,6.9131327
416,6.51,6.8586974
417,6.53,7.0026565
418,6.55,7.1712427
419,6.55,6.891649
420,6.58,6.7676134
421,6.59,6.456589
422,6.6,6.533306
423,6.62,5.976131
424,6.65,5.976131
425,6.65,6.4430766
426,6.66,7.075058
427,6.66,6.533306
428,6.69,7.3275785
429,6.74,6.4951906
430,6.76,6.2792606
431,6.76,6.368955
432,6.77,7.222935
433,6.77,7.075058
434,6.78,6.533306
435,6.78,7.2171135
436,6.78,6.368955
437,6.8,6.4430766
438,6.82,6.8893514
439,6.82,6.7768674
440,6.82,6.634179
441,6.82,6.350274
442,6.87,6.951211
443,6.88,6.533306
444,6.88,6.4430766
445,6.91,6.903602
446,6.91,7.0026565
447,6.91,6.067882
448,6.91,6.3020864
449,7.0,7.247583
450,7.02,6.903602
451,7.02,6.8267117
452,7.02,6.8092775
453,7.05,6.533306
454,7.06,7.8011527
455,7.08,7.0669055
456,7.1,7.222935
457,7.1,7.0581417
458,7.12,7.2816815
459,7.13,5.8504386
460,7.17,6.6960993
461,7.17,6.577029
462,7.18,6.764787
463,7.18,6.7685394
464,7.21,6.533306
465,7.24,6.64048
466,7.27,6.6147614
467,7.33,6.666019
468,7.35,6.9005427
469,7.38,6.865267
470,7.4,6.584871
471,7.4,6.8446774
472,7.42,7.1712427
473,7.43,7.0026565
474,7.45,6.533306
475,7.45,7.0026565
476,7.45,7.1019864
477,7.45,6.64048
478,7.45,7.0753613
479,7.46,7.26217
480,7.46,7.0026565
481,7.5,7.786366
482,7.5,7.6364193
483,7.5,6.456589
484,7.51,6.8267117
485,7.51,6.8586974
486,7.56,7.26217
487,7.56,6.533306
488,7.56,7.1193275
489,7.56,6.772361
490,7.56,7.0026565
491,7.56,7.489005
492,7.6,7.0026565
493,7.63,6.7833366
494,7.65,6.9005427
495,7.65,7.265053
496,7.65,7.247583
497,7.66,7.456287
498,7.71,7.1193275
499,7.72,6.533306
500,7.72,7.0026565
501,7.72,7.2764344
502,7.72,7.2414455
503,7.73,6.533306
504,7.74,7.431247
505,7.76,7.075058
506,7.77,7.5702133
507,7.8,7.222935
508,7.84,7.0503716
509,7.86,7.26217
510,7.86,6.9005427
511,7.86,7.011426
512,7.86,7.075058
513,7.86,7.3275785
514,7.86,7.047702
515,7.88,7.0026565
516,7.9,7.075058
517,7.93,7.142671
518,7.99,7.3822417
519,7.99,7.0026565
520,7.99,6.8299828
521,8.0,7.3275785
522,8.0,7.786366
523,8.0,7.7938375
524,8.08,7.632452
525,8.08,7.284962
526,8.18,7.0026565
527,4.69,4.5625153
528,5.81,6.545453
529,7.0,7.075058
530,7.79,7.0026565
531,7.72,6.533306
532,4.03,4.0960746
533,4.25,6.64048
534,4.44,4.9576464
535,4.56,4.8678164
536,4.63,4.8223257
537,4.63,5.5978084
538,4.63,5.1501107
539,4.73,4.7167706
540,4.8,6.2886806
541,4.8,4.7922096
542,4.8,5.1439495
543,5.0,4.847909
544,5.0,6.6406894
545,5.05,5.4928155
546,5.05,6.122642
547,5.05,4.9576464
548,5.05,5.50257
549,5.1,6.8586974
550,5.11,5.713573
551,5.2,6.589113
552,5.23,6.533306
553,5.23,5.0332823
554,5.42,5.418308
555,5.44,7.0026565
556,5.5,5.2133727
557,5.5,5.6568875
558,5.5,5.938073
559,5.5,5.146332
560,5.5,5.8072176
561,5.5,4.8447814
562,5.5,6.1081634
563,5.53,5.976131
564,5.57,5.5422106
565,5.57,6.533306
566,5.57,6.2168045
567,5.61,6.3020864
568,5.63,6.4430766
569,5.63,6.5042105
570,5.63,5.8510857
571,5.63,6.0168853
572,5.63,6.006562
573,5.67,5.5434456
574,5.67,6.099573
575,5.74,6.2886806
576,5.74,6.368955
577,5.76,4.6134562
578,5.79,5.2403436
579,5.8,6.6600075
580,5.8,6.350274
581,5.85,7.0026565
582,5.85,7.047702
583,5.86,5.6094465
584,5.87,7.0026565
585,5.88,5.899359
586,5.89,6.2769995
587,5.9,6.4430766
588,5.9,5.735041
589,5.9,6.349026
590,5.9,6.067882
591,5.96,7.0026565
592,5.96,5.7833543
593,5.98,6.533306
594,6.02,6.289731
595,6.02,6.8299828
596,6.03,7.011426
597,6.03,6.935712
598,6.05,5.609168
599,6.05,7.0026565
600,6.05,6.993795
601,6.06,6.533306
602,6.09,5.37791
603,6.11,6.64048
604,6.13,6.6521335
605,6.16,6.3289585
606,6.2,6.606588
607,6.22,7.0669055
608,6.24,6.533306
609,6.24,6.37904
610,6.28,7.0503716
611,6.28,6.64048
612,6.28,6.9706435
613,6.28,6.37904
614,6.28,7.078968
615,6.28,6.330084
616,6.29,6.7966895
617,6.3,7.222935
618,6.3,6.850681
619,6.31,7.1019864
620,6.38,6.6960993
621,6.4,6.4951906
622,6.4,7.251238
623,6.42,7.0135894
624,6.42,6.501797
625,6.42,7.1193275
626,6.42,6.254598
627,6.43,7.0026565
628,6.44,6.9707155
629,6.46,6.067507
630,6.47,6.0122447
631,6.47,7.075058
632,6.47,7.0026565
633,6.48,6.6446304
634,6.51,6.533306
635,6.51,6.553591
636,6.53,6.414961
637,6.53,6.4663568
638,6.54,7.222935
639,6.54,7.0026565
640,6.54,6.1387362
641,6.57,6.8446774
642,6.57,5.982788
643,6.58,6.533306
644,6.58,6.5502315
645,6.58,6.644454
646,6.6,6.533306
647,6.6,6.577029
648,6.6,6.533306
649,6.6,6.8303843
650,6.62,7.075058
651,6.62,6.243787
652,6.62,6.4952564
653,6.64,5.8037677
654,6.69,6.417098
655,6.81,7.0503716
656,6.83,6.8313456
657,6.94,6.9145317
658,7.82,7.075058
659,7.88,6.7868996
660,7.9,7.1019864
661,7.9,7.611488
662,7.9,7.498906
663,7.9,7.437096
664,7.9,7.4600964
665,7.91,6.545453
666,7.91,7.786366
667,7.91,7.441543
668,7.94,7.075058
669,7.94,7.3275785
670,7.94,7.885403
671,7.94,7.26992
