,gene,permimpt
0,DPRP,0.053176609523363894
1,WXXGXW,0.04022853386686474
2,Pro.kuma_activ,0.030011744244438244
3,NAD_Gly3P_dh_N,0.017683639430216603
4,Ku,0.01752761603834434
5,Oxygenase.NA,0.013849250261080592
6,Linocin_M18,0.009530067477663228
7,Ion_trans,0.009056159810816023
8,ExoD,0.008298956865385555
9,FTHFS,0.007895854501855015
10,OFeT_1,0.006956303329591229
11,CsbD,0.006788393873842802
12,Peptidase_C10,0.006589823400085027
13,NicO,0.0062679878159927595
14,MbtH,0.005812529956228008
15,Glyco_hydro_125,0.005701698388414811
16,Ligase_CoA_2,0.005629644779564291
17,Phytase.like,0.005034179404697259
